DATE,CABPPRIVSA
1988-01-01,16466.483108968998
1988-02-01,19704.3786206515
1988-03-01,19420.9456936104
1988-04-01,21148.677853845
1988-05-01,19129.807991499398
1988-06-01,21077.4705927905
1988-07-01,18940.715006129598
1988-08-01,22646.438667437596
1988-09-01,20723.743662112
1988-10-01,22482.9341485181
1988-11-01,27485.2416722183
1988-12-01,19450.3370892939
1989-01-01,19852.0929914287
1989-02-01,20109.923831168002
1989-03-01,18775.392645966
1989-04-01,19020.2190751104
1989-05-01,20713.5986871187
1989-06-01,18036.0713524081
1989-07-01,19990.027236865702
1989-08-01,18271.9380245585
1989-09-01,19103.0975447321
1989-10-01,19545.8796030196
1989-11-01,20392.679838101798
1989-12-01,23086.295504452202
1990-01-01,20920.4833919976
1990-02-01,19301.841661489398
1990-03-01,16533.6051921884
1990-04-01,14412.0598973866
1990-05-01,14303.479866313
1990-06-01,13872.820538054099
1990-07-01,12526.114929566398
1990-08-01,12108.923718706299
1990-09-01,11272.0959110276
1990-10-01,9364.925354398041
1990-11-01,9445.09220412345
1990-12-01,8227.87576252197
1991-01-01,8856.772608582809
1991-02-01,8236.5997369338
1991-03-01,10040.0046777267
1991-04-01,9238.452318249609
1991-05-01,10306.766471265899
1991-06-01,8363.424377812491
1991-07-01,9597.60699593207
1991-08-01,8543.67012866024
1991-09-01,8371.61214991547
1991-10-01,9399.138662156929
1991-11-01,7699.685692935609
1991-12-01,8217.32696219822
1992-01-01,8233.08325197007
1992-02-01,9860.09982849315
1992-03-01,7358.682316677579
1992-04-01,8811.74645466085
1992-05-01,7397.417637451541
1992-06-01,8631.13817216869
1992-07-01,7742.01018017985
1992-08-01,7659.50074238625
1992-09-01,7603.418909559441
1992-10-01,7716.871637326899
1992-11-01,7515.46592807583
1992-12-01,9609.41605910734
1993-01-01,7998.87304520448
1993-02-01,6684.879027429611
1993-03-01,7988.237908735841
1993-04-01,7067.34269108119
1993-05-01,6606.04247414918
1993-06-01,7524.7024471224595
1993-07-01,6548.8672802971105
1993-08-01,6727.149854255999
1993-09-01,6994.526891211949
1993-10-01,6499.80681253894
1993-11-01,7011.23897921759
1993-12-01,7694.68965904505
1994-01-01,7156.03298923977
1994-02-01,7979.12930800288
1994-03-01,8541.853047464709
1994-04-01,7368.7154119467405
1994-05-01,7897.0617442613
1994-06-01,10478.2603348584
1994-07-01,6168.28478571865
1994-08-01,8430.80703802283
1994-09-01,8344.04293232641
1994-10-01,7810.1555091458595
1994-11-01,8409.84230979773
1994-12-01,6958.52871042393
1995-01-01,5843.68620604707
1995-02-01,7973.204512058441
1995-03-01,5856.619361474561
1995-04-01,6404.65296671821
1995-05-01,7298.1431102437
1995-06-01,6531.2745108195895
1995-07-01,6769.32550960837
1995-08-01,8823.62616275815
1995-09-01,6783.69813752016
1995-10-01,7141.79415985766
1995-11-01,7892.23594269165
1995-12-01,7898.2678778147
1996-01-01,7895.5981601677195
1996-02-01,7199.749064703459
1996-03-01,7737.50662732285
1996-04-01,8151.778189724379
1996-05-01,7684.53387521818
1996-06-01,6898.17082059124
1996-07-01,7782.42886670971
1996-08-01,7536.744572911391
1996-09-01,7523.82850139104
1996-10-01,9695.06358272237
1996-11-01,7305.459713009491
1996-12-01,6401.2524621701
1997-01-01,7455.084739896451
1997-02-01,9772.625010899108
1997-03-01,8017.8865969628905
1997-04-01,8727.7019973617
1997-05-01,8657.782177282521
1997-06-01,8091.10135128418
1997-07-01,9244.13637577617
1997-08-01,8974.60125143506
1997-09-01,9866.47677057577
1997-10-01,11895.0808676816
1997-11-01,8793.773118579
1997-12-01,9581.612790739258
1998-01-01,7767.201800321129
1998-02-01,9218.99113471572
1998-03-01,9634.21557286744
1998-04-01,10321.8271471777
1998-05-01,9498.83299193613
1998-06-01,11196.422580794298
1998-07-01,10282.856894267901
1998-08-01,10918.828401208
1998-09-01,11102.3726971632
1998-10-01,11223.4586348821
1998-11-01,10839.2154695486
1998-12-01,10532.900385474699
1999-01-01,11041.58098484
1999-02-01,10399.307709262099
1999-03-01,10921.1354190966
1999-04-01,10180.3815577397
1999-05-01,11118.2455657561
1999-06-01,11942.4315020679
1999-07-01,12125.6588110573
1999-08-01,10784.037519085501
1999-09-01,10989.8653168241
1999-10-01,10952.4716726137
1999-11-01,11011.024065830401
1999-12-01,11604.342810273101
2000-01-01,11951.0866414605
2000-02-01,11922.9012127099
2000-03-01,12069.0493354338
2000-04-01,10757.5632561613
2000-05-01,11245.9330138667
2000-06-01,14511.709968578401
2000-07-01,10824.2487029725
2000-08-01,12134.9084062918
2000-09-01,11282.8943851152
2000-10-01,11611.5005129909
2000-11-01,12689.1267333398
2000-12-01,12714.5293956642
2001-01-01,15950.5744400014
2001-02-01,10619.3246126949
2001-03-01,11935.783923605
2001-04-01,12151.7566333124
2001-05-01,12092.6805392036
2001-06-01,11909.291519046299
2001-07-01,10294.7771981168
2001-08-01,12798.9446227142
2001-09-01,9317.6287972764
2001-10-01,12003.892151889298
2001-11-01,11501.07188357
2001-12-01,11770.588401783702
2002-01-01,11799.7292241691
2002-02-01,12748.122128391899
2002-03-01,11622.6659458382
2002-04-01,12554.2724044049
2002-05-01,11997.6956620815
2002-06-01,11516.437793083
2002-07-01,13594.1655019015
2002-08-01,12963.800456680901
2002-09-01,13492.830643578998
2002-10-01,18188.6407127671
2002-11-01,14210.6123151948
2002-12-01,12675.397693185601
2003-01-01,15204.0249550285
2003-02-01,17762.2680336472
2003-03-01,14197.656169559099
2003-04-01,14986.308649878601
2003-05-01,15934.199900740401
