ID Value Bucket,Value Bucket,ID Year,Year,Property Value by Bucket,Property Value by Bucket Moe,Geography,ID Geography,Slug Geography,share
9,"$60,000 to $69,999",2017,"2017",1668358,21640,"United States","01000US","united-states",0.02175626738807557
1,"$10,000 to $14,999",2017,"2017",549798,11385,"United States","01000US","united-states",0.007169655611942504
19,"$300,000 to $399,999",2017,"2017",9287497,46433,"United States","01000US","united-states",0.12111385451920373
20,"$400,000 to $499,999",2017,"2017",966449,12957,"California","04000US06","california",0.13564025156173465
15,"$150,000 to $174,999",2017,"2017",148829,5903,"California","04000US06","california",0.02088801685312045
20,"$400,000 to $499,999",2017,"2017",5516286,31748.999999999996,"United States","01000US","united-states",0.07193527600496886
10,"$70,000 to $79,999",2017,"2017",1920286,23629,"United States","01000US","united-states",0.025041541250485858
5,"$30,000 to $34,999",2017,"2017",596891,10224,"United States","01000US","united-states",0.007783773145533402
21,"$500,000 to $749,999",2017,"2017",6283285,42388,"United States","01000US","united-states",0.08193734710145209
25,"$2,000,000 or More",2017,"2017",281128,8215,"California","04000US06","california",0.03945606301113389
14,"$125,000 to $149,999",2017,"2017",79881,5093,"California","04000US06","california",0.01121122680555614
22,"$750,000 to $999,999",2017,"2017",2488501,20115,"United States","01000US","united-states",0.03245136424645876
11,"$80,000 to $89,999",2017,"2017",2233308,25236,"United States","01000US","united-states",0.029123513063699924
22,"$750,000 to $999,999",2017,"2017",888500,11852,"California","04000US06","california",0.12470017922580627
23,"$1,000,000 to $1,499,999",2017,"2017",1408667,16357.000000000002,"United States","01000US","united-states",0.01836975991529291
19,"$300,000 to $399,999",2017,"2017",946206,13157,"California","04000US06","california",0.13279916464213085
13,"$100,000 to $124,999",2017,"2017",104447,4972,"California","04000US06","california",0.014659042903317713
24,"$1,500,000 to $1,999,999",2017,"2017",505125,10127,"United States","01000US","united-states",0.0065870961534644674
12,"$90,000 to $99,999",2017,"2017",1944367,22779,"United States","01000US","united-states",0.02535557017891264
6,"$35,000 to $39,999",2017,"2017",447506,11066,"United States","01000US","united-states",0.00583571403365953
25,"$2,000,000 or More",2017,"2017",680989,12730,"United States","01000US","united-states",0.008880455377286047
3,"$20,000 to $24,999",2017,"2017",537939,9802,"United States","01000US","united-states",0.007015008003362578
0,"Less Than $10,000",2017,"2017",1000376,16112,"United States","01000US","united-states",0.0130454301442577
12,"$90,000 to $99,999",2017,"2017",26776,2586,"California","04000US06","california",0.003757987618402013
0,"Less Than $10,000",2017,"2017",56609,3325,"California","04000US06","california",0.007945022448839243
13,"$100,000 to $124,999",2017,"2017",5247464,38317,"United States","01000US","united-states",0.06842969548100622
24,"$1,500,000 to $1,999,999",2017,"2017",225390,6171,"California","04000US06","california",0.03163328463219412
1,"$10,000 to $14,999",2017,"2017",21472,2223,"California","04000US06","california",0.0030135759688649545
18,"$250,000 to $299,999",2017,"2017",418134,9667,"California","04000US06","california",0.058684732403380166
11,"$80,000 to $89,999",2017,"2017",39081,3387.9999999999995,"California","04000US06","california",0.0054849833475787675
2,"$15,000 to $19,999",2017,"2017",14849,1974,"California","04000US06","california",0.002084043850674167
14,"$125,000 to $149,999",2017,"2017",4961614,39059,"United States","01000US","united-states",0.06470206086488582
7,"$40,000 to $49,999",2017,"2017",1167440,17521,"United States","01000US","united-states",0.015224032731305237
3,"$20,000 to $24,999",2017,"2017",19741,2636,"California","04000US06","california",0.0027706316692140028
23,"$1,000,000 to $1,499,999",2017,"2017",564683,9181,"California","04000US06","california",0.07925275329855483
10,"$70,000 to $79,999",2017,"2017",29875,2563,"California","04000US06","california",0.004192929492820441
4,"$25,000 to $29,999",2017,"2017",16643,2217,"California","04000US06","california",0.0023358301438999368
15,"$150,000 to $174,999",2017,"2017",6230138,45018,"United States","01000US","united-states",0.08124428221797142
21,"$500,000 to $749,999",2017,"2017",1665734,17359,"California","04000US06","california",0.23378427500564905
5,"$30,000 to $34,999",2017,"2017",19329,2084,"California","04000US06","california",0.0027128078382167805
17,"$200,000 to $249,999",2017,"2017",363783,9357,"California","04000US06","california",0.05105661823219075
9,"$60,000 to $69,999",2017,"2017",28648,2286,"California","04000US06","california",0.004020721141768034
6,"$35,000 to $39,999",2017,"2017",12854,1550,"California","04000US06","california",0.001804047387471597
16,"$175,000 to $199,999",2017,"2017",4565691,32837,"United States","01000US","united-states",0.05953901633062576
8,"$50,000 to $59,999",2017,"2017",1398870,16934,"United States","01000US","united-states",0.018242001873193445
7,"$40,000 to $49,999",2017,"2017",28819,2405,"California","04000US06","california",0.004044720838613968
4,"$25,000 to $29,999",2017,"2017",495363,10768,"United States","01000US","united-states",0.006459794529806719
8,"$50,000 to $59,999",2017,"2017",31174,2711,"California","04000US06","california",0.004375242979386927
17,"$200,000 to $249,999",2016,"2016",398148,8650,"California","04000US06","california",0.057341704990676076
8,"$50,000 to $59,999",2016,"2016",35375,2790,"California","04000US06","california",0.005094745707739751
9,"$60,000 to $69,999",2016,"2016",33337,2137,"California","04000US06","california",0.00480123074654191
6,"$35,000 to $39,999",2016,"2016",14382,2100,"California","04000US06","california",0.0020713111736738684
5,"$30,000 to $34,999",2016,"2016",19543,2089,"California","04000US06","california",0.0028146039679535816
10,"$70,000 to $79,999",2016,"2016",32884,2657,"California","04000US06","california",0.004735989197266826
4,"$25,000 to $29,999",2016,"2016",17572,2025,"California","04000US06","california",0.00253073841912093
3,"$20,000 to $24,999",2016,"2016",22428,2215,"California","04000US06","california",0.003230104783977021
11,"$80,000 to $89,999",2016,"2016",42570,2889,"California","04000US06","california",0.006130977378896995
2,"$15,000 to $19,999",2016,"2016",19576,1774.9999999999998,"California","04000US06","california",0.002819356663596137
1,"$10,000 to $14,999",2016,"2016",20542,1981,"California","04000US06","california",0.002958481026950953
12,"$90,000 to $99,999",2016,"2016",31268,2885,"California","04000US06","california",0.004503251131861668
0,"Less Than $10,000",2016,"2016",56555,3412,"California","04000US06","california",0.008145112183780116
25,"$2,000,000 or More",2016,"2016",632437,11335,"United States","01000US","united-states",0.00842995659079603
13,"$100,000 to $124,999",2016,"2016",114430,5355,"California","04000US06","california",0.016480332193262462
24,"$1,500,000 to $1,999,999",2016,"2016",447209,8178.999999999999,"United States","01000US","united-states",0.0059609928846878065
23,"$1,000,000 to $1,499,999",2016,"2016",1211844,14408.999999999998,"United States","01000US","united-states",0.016153059221419092
14,"$125,000 to $149,999",2016,"2016",101526,4911,"California","04000US06","california",0.014621884175943064
22,"$750,000 to $999,999",2016,"2016",2237096,20327,"United States","01000US","united-states",0.029818973541148663
21,"$500,000 to $749,999",2016,"2016",5651174,32370,"United States","01000US","united-states",0.07532631947061157
15,"$150,000 to $174,999",2016,"2016",172296,5788,"California","04000US06","california",0.024814256013024113
20,"$400,000 to $499,999",2016,"2016",4952822,32720,"United States","01000US","united-states",0.06601776060214627
19,"$300,000 to $399,999",2016,"2016",8734811,47849,"United States","01000US","united-states",0.11642911081863912
16,"$175,000 to $199,999",2016,"2016",137071,6035,"California","04000US06","california",0.01974111346729598
18,"$250,000 to $299,999",2016,"2016",6462218,39265,"United States","01000US","united-states",0.08613698632474183
17,"$200,000 to $249,999",2016,"2016",7973867,47050,"United States","01000US","united-states",0.10628624301041997
7,"$40,000 to $49,999",2016,"2016",33575,2958,"California","04000US06","california",0.004835507763600343
