Year,Period,Area,Adjusted,Preliminary,Labor Force,Employment,Unemployment,Unemployment Rate
1996,Annual,Alpine County,Not Adj,Not Prelim,490,440,50,0.098
1995,Annual,Alpine County,Not Adj,Not Prelim,480,430,50,0.106
1994,Annual,Alpine County,Not Adj,Not Prelim,450,400,50,0.103
1993,Annual,Alpine County,Not Adj,Not Prelim,360,310,50,0.131
1992,Annual,Alpine County,Not Adj,Not Prelim,350,290,60,0.164
1991,Annual,Alpine County,Not Adj,Not Prelim,360,310,50,0.132
1990,Annual,Alpine County,Not Adj,Not Prelim,380,340,40,0.096
2019,Annual,Amador County,Not Adj,Prelim,14900,14330,570,0.038
2018,Annual,Amador County,Not Adj,Not Prelim,14690,14080,600,0.041
2017,Annual,Amador County,Not Adj,Not Prelim,14710,13980,730,0.050
2016,Annual,Amador County,Not Adj,Not Prelim,14520,13660,860,0.059
2015,Annual,Amador County,Not Adj,Not Prelim,14320,13370,940,0.066
2014,Annual,Amador County,Not Adj,Not Prelim,14350,13160,1190,0.083
2013,Annual,Amador County,Not Adj,Not Prelim,14450,12960,1490,0.103
2012,Annual,Amador County,Not Adj,Not Prelim,14670,12870,1800,0.123
2011,Annual,Amador County,Not Adj,Not Prelim,15100,13040,2060,0.136
2010,Annual,Amador County,Not Adj,Not Prelim,15510,13330,2180,0.141
2009,Annual,Amador County,Not Adj,Not Prelim,17820,15780,2040,0.114
2008,Annual,Amador County,Not Adj,Not Prelim,17800,16430,1370,0.077
2007,Annual,Amador County,Not Adj,Not Prelim,17700,16670,1030,0.058
2006,Annual,Amador County,Not Adj,Not Prelim,17240,16310,920,0.053
2005,Annual,Amador County,Not Adj,Not Prelim,17200,16240,960,0.056
2004,Annual,Amador County,Not Adj,Not Prelim,16910,15930,970,0.058
2003,Annual,Amador County,Not Adj,Not Prelim,16390,15380,1000,0.061
2002,Annual,Amador County,Not Adj,Not Prelim,16510,15570,950,0.057
2001,Annual,Amador County,Not Adj,Not Prelim,16130,15320,820,0.051
2000,Annual,Amador County,Not Adj,Not Prelim,15280,14490,800,0.052
1999,Annual,Amador County,Not Adj,Not Prelim,13520,12890,630,0.046
1998,Annual,Amador County,Not Adj,Not Prelim,13300,12570,730,0.055
1997,Annual,Amador County,Not Adj,Not Prelim,13190,12380,810,0.061
1996,Annual,Amador County,Not Adj,Not Prelim,13230,12340,890,0.067
1995,Annual,Amador County,Not Adj,Not Prelim,13070,12030,1040,0.080
1994,Annual,Amador County,Not Adj,Not Prelim,12740,11700,1040,0.081
1993,Annual,Amador County,Not Adj,Not Prelim,12830,11640,1190,0.093
1992,Annual,Amador County,Not Adj,Not Prelim,12720,11550,1160,0.091
1991,Annual,Amador County,Not Adj,Not Prelim,11980,11150,830,0.069
1990,Annual,Amador County,Not Adj,Not Prelim,11450,10860,590,0.052
2019,Annual,Butte County,Not Adj,Prelim,99200,94200,5100,0.051
2018,Annual,Butte County,Not Adj,Not Prelim,101900,96700,5200,0.051
2017,Annual,Butte County,Not Adj,Not Prelim,102100,96200,5900,0.058
2016,Annual,Butte County,Not Adj,Not Prelim,101600,94900,6700,0.066
2015,Annual,Butte County,Not Adj,Not Prelim,101000,93800,7300,0.072
2014,Annual,Butte County,Not Adj,Not Prelim,101200,92500,8800,0.086
2013,Annual,Butte County,Not Adj,Not Prelim,101700,91300,10500,0.103
2012,Annual,Butte County,Not Adj,Not Prelim,101000,88700,12300,0.122
2011,Annual,Butte County,Not Adj,Not Prelim,100600,86900,13800,0.137
2010,Annual,Butte County,Not Adj,Not Prelim,102600,88300,14200,0.139
2009,Annual,Butte County,Not Adj,Not Prelim,103700,91000,12700,0.123
2008,Annual,Butte County,Not Adj,Not Prelim,102800,94100,8700,0.085
2007,Annual,Butte County,Not Adj,Not Prelim,101200,94500,6700,0.067
2006,Annual,Butte County,Not Adj,Not Prelim,99800,93600,6200,0.062
2005,Annual,Butte County,Not Adj,Not Prelim,98300,91700,6600,0.067
2004,Annual,Butte County,Not Adj,Not Prelim,97400,90300,7200,0.074
2003,Annual,Butte County,Not Adj,Not Prelim,98300,90900,7400,0.075
