city_county,FY1998-99,FY1999-00,FY2000-01,FY2001-02,FY2002-03,FY2003-04,FY2004-05,FY2005-06,FY2006-07,FY2007-08,FY2008-09,FY2009-10,FY2010-11,FY2011-12,FY2012-13,FY2013-14,FY2014-15,FY2015-16,FY2016-17,FY2017-18,FY2018-19
Sonoma County unincorporated,"10,461,073","11,636,880","12,950,655","12,234,046","12,406,104","12,424,436","10,585,211","10,740,645","11,461,678","11,479,013","10,650,139","9,235,390","9,965,427","10,924,699","11,555,320","12,664,588","13,084,737","15,173,995","19,721,540","20,658,655","22,076,506"
Cloverdale,"292,374","330,851","378,429","460,887","426,296","444,268","349,129","363,790","422,693","463,440","416,888","391,540","410,816","434,778","488,589","508,987","577,042","568,013","808,070","975,713","1,282,100"
Cotati,"862,990","1,035,364","1,064,120","1,106,904","1,134,023","1,118,800","1,075,289","1,078,406","1,540,106","1,582,353","1,158,751","1,131,250","1,124,049","1,192,822","1,213,936","1,421,122","1,410,255","1,561,459","2,027,406","2,143,442","2,355,849"
Healdsburg,"2,132,557","2,359,069","2,595,402","2,701,467","2,774,804","2,807,558","2,318,543","2,386,031","2,489,850","2,480,798","2,403,604","2,065,766","2,348,001","2,337,974","2,532,129","2,643,157","2,967,644","3,410,105","4,392,212","4,573,252","4,826,793"
Petaluma,"7,927,516","9,528,149","10,894,169","9,798,327","10,081,937","10,045,360","8,398,335","8,511,902","8,556,883","8,531,593","7,353,056","6,415,956","6,640,709","7,084,265","7,598,033","8,561,977","9,070,331","9,881,939","12,391,222","13,228,261","13,164,140"
Rohnert Park,"4,988,895","5,876,266","5,902,146","5,879,066","6,168,538","6,811,037","5,559,991","5,883,420","5,647,058","5,348,130","4,809,889","4,427,390","4,610,189","4,578,056","4,794,659","5,160,954","5,180,739","5,534,077","7,186,186","8,098,776","8,543,472"
Santa Rosa,"24,067,287","27,318,317","30,426,224","28,719,709","28,010,991","29,139,683","23,989,328","24,424,068","24,052,075","23,287,418","20,868,499","18,474,875","19,721,827","21,335,106","22,402,787","23,921,815","25,372,827","28,730,427","35,988,696","37,064,259","40,521,767"
Sebastopol,"1,243,244","1,353,453","1,490,645","1,598,143","1,523,838","1,480,519","1,264,893","1,145,250","1,204,503","1,084,118","1,099,841","1,015,549","1,004,647","1,005,896","1,156,568","1,208,373","1,226,897","1,373,423","1,721,929","1,865,805","1,976,042"
Sonoma,"1,618,353","1,841,503","1,966,820","2,076,147","2,122,718","2,097,107","1,725,827","1,694,744","1,756,505","1,662,059","1,679,085","1,429,733","1,582,082","1,722,846","1,877,804","1,980,827","2,114,587","2,427,511","2,976,411","3,043,455","3,117,205"
Windsor,"1,505,815","2,049,374","2,194,743","2,672,736","2,926,627","3,006,528","2,597,880","2,784,043","2,860,783","2,794,054","2,508,159","2,193,958","2,252,318","2,507,859","2,688,977","2,970,939","2,903,998","3,319,162","4,130,900","4,507,430","5,086,814"
Stanislaus County unincorporated,"11,744,541","13,781,477","15,032,421","15,578,834","16,807,627","17,998,249","15,818,396","16,753,244","15,916,554","15,049,582","13,517,144","10,478,606","11,629,578","13,159,267","14,594,102","15,440,603","16,370,434","18,812,350","24,894,244","25,758,839","27,928,683"
Ceres,"2,859,029","3,284,397","3,445,807","3,604,800","3,566,288","3,816,549","3,293,535","3,532,594","3,782,224","3,553,965","3,271,602","3,149,783","3,252,821","3,568,213","3,807,853","4,002,316","3,858,383","4,341,649","5,613,703","5,919,220","6,827,862"
Hughson,"160,576","181,411","220,317","293,502","367,032","454,408","446,190","428,373","371,739","336,174","335,020","292,066","316,444","321,691","399,345","546,547","702,602","808,557","1,007,861","950,718","1,039,996"
Modesto,"19,190,914","20,890,080","23,198,403","24,293,080","25,504,067","27,092,642","22,199,660","22,001,421","20,845,279","19,956,941","18,930,715","17,886,023","18,859,082","20,500,393","20,874,860","21,798,246","21,722,303","23,921,973","30,933,518","30,564,431","32,474,722"
Newman,"335,416","378,898","388,277","447,303","443,691","473,525","371,232","366,764","393,038","380,771","313,717","199,082","298,335","365,771","334,693","321,894","399,331","391,852","498,116","496,130","558,955"
Oakdale,"2,047,697","2,248,087","2,709,269","2,692,982","2,943,269","2,956,829","2,512,847","2,525,238","2,387,883","2,380,679","2,039,236","1,799,968","1,955,920","2,017,607","2,112,015","2,125,254","2,309,567","2,557,859","3,370,664","3,278,064","3,679,122"
Patterson,"707,946","717,022","781,526","737,306","801,261","933,217","810,899","933,426","987,002","1,031,760","1,002,448","926,716","1,020,334","1,136,244","1,898,939","2,423,107","2,720,357","3,509,344","4,445,798","5,734,251","5,530,806"
Riverbank,"475,692","751,527","864,571","889,237","1,092,481","1,346,234","890,336","1,167,102","1,607,286","1,721,753","1,737,124","1,748,326","1,772,961","1,964,512","1,911,333","2,042,173","2,046,621","2,406,309","3,211,605","3,299,112","3,664,665"
Turlock,"5,596,955","6,200,755","6,795,416","7,515,833","8,003,544","8,318,876","8,072,403","8,347,136","8,266,286","7,933,250","7,461,499","6,766,516","7,521,061","7,853,458","8,093,276","8,852,149","9,258,676","10,805,769","14,011,284","13,777,233","14,529,103"
Waterford,"223,429","244,415","246,536","253,193","277,528","290,597","261,177","266,766","290,641","317,151","273,307","236,350","269,199",0,"332,212","351,375","380,196","473,999","540,098","560,571","571,919"
Sutter County unincorporated,"2,065,022","1,982,495","2,470,785","3,401,419","2,770,846","2,889,242","2,618,187","2,203,700","2,702,193","2,258,789","1,955,437","1,781,604","1,854,170","2,187,831","2,194,999","2,498,778","2,492,564","2,634,565","3,082,253","3,540,327","3,907,515"
Live Oak,"91,067","114,495","125,736","157,068","139,908","153,842","133,474","136,477","146,805","159,080","160,714","153,088","172,637","196,953","232,109","215,235","266,189","253,159","302,227","332,052","368,814"
Yuba City,"5,760,277","6,549,545","8,013,891","6,509,319","8,163,046","8,291,849","7,410,392","8,470,359","7,869,006","8,052,645","7,147,681","6,957,058","7,166,019","7,700,241","8,111,576","8,262,762","8,864,058","10,425,350","12,839,732","13,585,253","14,311,473"
Tehama County unincorporated,"927,226","872,494","994,347","1,006,077","1,142,244","1,234,393","1,099,424","1,164,820","1,293,609","1,122,333","1,071,431","981,411","1,087,621","1,297,655","1,638,436","1,861,373","1,500,032","1,589,019","2,095,042","1,940,989","2,107,243"
Corning,"1,234,454","1,510,953","1,529,781","1,660,053","1,739,919","1,790,689","1,468,608","1,625,915","1,960,927","1,952,508","1,640,680","1,248,295","1,734,522","2,012,558","2,141,373","2,076,078","1,971,412","2,065,149","2,607,285","2,746,539","3,071,002"
Red Bluff,"1,946,335","2,150,709","2,289,455","2,359,520","2,468,965","2,708,018","2,306,683","2,568,704","2,517,968","2,479,250","2,045,232","1,750,458","1,841,481","1,949,660","2,099,775","2,219,502","2,366,806","2,683,655","3,353,817","3,494,179","3,740,644"
Tehama,"1,901","1,437","1,194","1,164",646,0,0,0,0,495,"1,095",649,556,"2,437","2,232","2,396","2,250","2,803","4,038","4,316","3,009"
Trinity County UNINCORPORATED,"541,817","654,777","626,669","627,472","691,662","680,226","604,730","561,070","578,216","565,630","549,351","549,333","644,788","646,429","655,112","735,212","785,969","913,667","1,129,193","1,141,941","1,125,684"
Tulare County unincorporated,"6,011,872","6,130,867","6,141,960","6,304,447","6,574,686","7,500,810","6,283,042","6,757,554","7,155,833","7,355,521","6,901,942","5,786,497","6,354,623","7,191,931","7,909,721","7,759,412","8,854,142","9,592,613","11,702,625","12,219,389","13,474,394"
Dinuba,"1,075,709","1,342,195","1,197,077","1,318,510","1,419,956","1,483,814","1,341,783","1,647,094","1,748,130","1,692,719","1,416,057","1,340,536","4,896,454","4,295,752","2,404,434","3,255,360","3,738,177","4,742,856","8,916,326","11,976,424","11,794,922"
Exeter,"459,734","483,369","494,752","534,168","513,588","557,344","488,685","513,661","546,057","478,388","472,024","457,737","455,784","474,718","581,595","616,859","672,483","636,790","780,578","836,753","862,244"
Farmersville,"238,073","298,991","366,456","188,725","323,660","318,618","323,551","364,487","326,384","358,248","351,604","317,770","273,580","347,333","403,625","419,809","425,590","407,242","506,214","619,640","649,285"
Lindsay,"304,760","332,013","335,741","333,113","377,429","375,121","364,931","415,649","514,408","454,925","437,424","398,498","460,768","538,961","561,811","601,094","614,867","652,328","757,324","864,810","1,094,150"
Porterville,"3,487,217","3,758,142","3,945,891","3,979,908","4,328,559","4,397,375","3,775,177","3,968,387","4,205,542","3,861,385","3,494,388","3,236,595","3,330,334","3,535,707","3,988,482","4,045,037","4,263,763","4,642,529","5,855,151","5,992,679","6,170,335"
Tulare,"3,962,878","4,556,850","4,736,948","4,799,686","5,403,417","5,381,617","4,808,937","5,051,458","5,548,064","5,734,757","5,591,285","4,994,168","5,407,392","6,192,029","6,698,176","6,789,302","7,091,964","7,720,978","9,352,430","9,652,469","10,298,456"
Visalia,"13,069,373","14,247,811","15,084,954","15,229,355","16,307,293","17,102,222","15,038,407","16,506,159","16,382,335","16,466,528","15,400,117","13,741,083","14,577,032","16,519,167","19,150,626","19,915,426","20,600,779","23,765,674","31,047,350","30,085,863","32,030,083"
Woodlake,"162,596","196,531","180,703","173,432","180,919","194,029","199,651","227,072","240,321","264,460","238,768","200,315","173,957","217,334","278,110","273,579","335,292","341,902","402,790","414,100","591,454"
Tuolumne County unincorporated,"2,546,500","2,952,224","3,254,799","3,288,324","3,459,925","3,612,940","3,160,929","3,115,747","3,038,982","2,936,895","2,704,803","2,280,977","2,569,159","2,693,668","2,791,008","2,891,216","2,910,766","3,340,697","4,467,754","4,678,296","4,839,440"
Sonora,"1,650,249","1,815,425","1,944,715","2,111,209","2,196,300","2,280,454","1,956,129","1,853,463","1,865,326","1,870,936","1,690,797","1,574,230","1,536,590","1,721,438","1,746,834","1,697,738","1,764,444","2,023,985","2,629,778","2,627,097","2,697,302"
Ventura County unincorporated,"5,990,062","6,729,076","7,176,738","7,378,976","7,357,950","8,014,188","7,024,962","7,561,883","7,387,928","7,031,266","6,267,621","5,222,084","5,435,869","6,073,184","6,273,470","7,554,002","7,081,170","7,831,658","9,507,375","9,841,875","10,702,548"
Camarillo,"6,680,367","7,694,759","8,463,409","8,552,538","8,901,778","9,752,023","8,197,739","8,693,911","8,742,557","9,043,850","9,017,600","8,503,601","9,269,060","10,043,643","10,285,146","10,347,938","10,858,634","11,342,088","14,057,966","14,299,183","15,195,375"
Fillmore,"604,419","709,274","841,691","869,884","850,605","938,212","970,674","1,102,515","1,486,435","6,349,013","3,394,976",0,0,0,0,"19,911,218","6,340,679","7,680,624","5,119,381","2,452,756","3,872,866"
Moorpark,"1,487,652","1,763,896","1,861,291","1,769,830","1,711,450","2,207,632","2,051,464","2,048,645","2,171,427","2,334,381","2,272,222","2,280,198","2,490,815","2,628,548","2,664,077","2,748,520","2,691,972","3,077,496","3,839,551","4,182,619","4,130,802"
Ojai,"952,532","1,064,856","1,108,832","1,095,985","1,085,711","973,888","802,912","834,778","839,269","840,058","844,556","670,274","764,707","819,978","838,020","885,524","919,472","1,064,229","1,363,562","1,409,278","1,609,724"
Oxnard,"15,434,046","17,267,535","17,893,555","19,584,061","20,697,805","22,522,445","18,455,784","18,861,000","19,196,377","18,133,623","16,464,380","14,943,164","15,957,431","17,483,629","18,549,528","19,251,832","20,473,129","22,788,288","29,635,800","30,513,345","32,709,879"
Port Hueneme,"570,415","620,386","716,668","685,446","686,988","771,520","654,688","652,469","669,920","641,996","607,083","670,435","625,124","623,975","655,801","668,992","693,011","777,741","1,032,251","1,128,641","1,420,623"
Santa Paula,"1,438,524","1,639,829","1,671,949","1,640,134","1,657,710","1,707,376","1,416,849","1,473,654","1,573,465","1,464,513","1,387,585","1,197,267","1,386,971","1,550,790","1,601,019","1,713,994","1,824,684","2,030,838","2,562,919","2,602,820","2,830,212"
Simi Valley,"9,116,065","10,463,326","11,642,792","12,186,020","12,793,905","13,765,102","11,763,338","12,873,246","12,796,408","12,622,785","10,914,193","10,014,870","10,664,779","11,124,799","11,593,483","11,491,143","12,053,334","13,585,022","16,864,835","17,703,749","18,393,952"
Thousand Oaks,"19,601,147","21,744,384","23,916,282","24,332,581","25,221,357","26,762,470","21,736,723","21,572,036","21,206,792","19,722,001","18,133,901","17,222,309","17,961,525","18,383,229","19,622,559","19,651,354","20,577,218","23,563,588","28,932,090","29,728,644","31,961,861"
San Buenaventura,"15,215,923","16,858,124","18,530,222","18,481,412","18,979,852","19,573,993","16,650,119","16,704,060","16,912,653","16,048,247","14,691,231","13,109,396","13,448,579","14,610,229","15,752,865","16,265,934","17,301,804","19,601,752","23,958,267","24,407,668","26,118,982"
Yolo County unincorporated,"1,541,917","1,785,506","2,092,491","2,121,039","1,815,880","1,842,038","1,810,270","2,253,423","2,466,678","2,291,731","2,418,217","1,840,005","2,022,927","2,379,452","2,410,890","2,562,417","2,928,080","2,977,107","3,567,899","3,722,917","4,552,159"
Davis,"3,816,561","4,219,306","4,977,083","5,313,630","5,463,913","5,507,727","4,816,384","4,553,574","4,442,668","4,582,073","3,927,974","3,857,493","3,764,430","4,111,277","4,819,540","4,862,390","5,243,786","6,204,808","7,762,457","7,396,372","7,715,915"
West Sacramento,"8,254,053","9,269,388","10,261,878","9,071,525","9,181,534","10,340,164","8,918,988","9,769,865","9,367,843","10,652,527","11,135,847","9,427,878","10,003,819","10,674,733","11,369,112","12,281,245","12,497,136","13,497,414","15,799,358","17,012,101","19,846,022"
Winters,"165,109","202,686","207,665","214,759","281,619","286,569","277,192","277,330","247,516","305,350","248,479","225,901","259,296","315,181","340,090","406,925","416,990","464,610","573,497","608,329","679,163"
Woodland,"5,928,958","6,733,096","7,622,468","7,058,350","7,229,977","7,894,242","7,237,216","7,050,936","7,179,203","7,054,087","6,737,068","6,079,285","6,541,957","7,047,409","7,799,761","7,934,155","8,098,858","9,417,369","11,926,712","13,205,859","14,531,062"
Yuba County unincorporated,"1,657,978","1,794,986","2,033,546","1,858,195","2,231,652","2,594,449","2,635,347","2,687,389","2,464,390","2,302,774","2,171,599","1,853,933","1,873,693","2,025,587","2,076,791","2,007,942","2,165,545","2,442,980","3,498,398","3,734,364","4,337,924"
Marysville,"1,500,671","1,871,973","1,860,918","1,699,967","1,908,815","1,895,304","1,557,315","1,598,105","1,757,700","1,568,987","1,520,836","1,147,849","1,349,352","1,536,394","1,519,133","1,542,226","1,453,907","1,473,707","1,753,834","1,828,104","2,039,855"
Wheatland,"85,251","88,216","85,999","80,862","110,305","94,698","84,837","81,177","79,016","116,318","98,210","112,897","145,185","133,957","133,127","134,749","126,217","159,229","201,569","216,989","301,570"
Alameda County,"197,128,262","220,174,706","245,490,934","225,549,044","214,279,880","220,388,704","186,101,933","189,030,479","191,308,546","191,912,067","166,754,345","151,231,354","164,617,814","178,982,013","191,873,718","205,242,978","214,279,230","248,833,889","315,747,678","332,913,486","359,455,649"
Alpine County UNINCORPORATED,"343,389","206,338","254,805","225,347","272,158","186,335","155,765","184,782","239,327","184,142","129,227","190,975","169,721","215,259","222,728","195,956","253,527","393,077","541,426","400,239","278,918"
Amador County,"2,915,987","3,387,101","3,711,057","3,654,272","3,950,348","4,180,335","3,408,673","3,417,321","3,670,910","3,638,285","3,106,801","2,682,350","2,730,271","2,916,587","2,841,643","3,021,429","3,219,080","3,738,437","4,501,866","4,679,338","4,902,547"
Butte County,"17,807,870","19,665,532","20,885,883","21,674,764","22,656,702","23,918,589","20,522,286","21,323,453","21,127,224","20,635,810","19,318,995","17,680,537","18,773,567","19,669,884","20,495,636","21,801,136","22,819,479","25,715,462","32,677,539","34,881,900","36,784,056"
Calaveras County,"2,051,668","2,299,306","2,360,713","2,500,140","2,668,755","2,930,599","2,451,440","2,669,455","2,711,946","2,632,805","2,186,397","1,952,833","2,069,274","2,219,231","2,331,836","2,371,900","2,537,495","2,907,872","3,913,406","4,057,778","4,215,944"
Colusa County,"1,809,117","2,154,682","2,280,843","2,098,253","2,088,235","2,200,225","2,020,166","2,008,513","2,266,017","2,228,606","3,311,665","3,716,038","2,114,501","2,814,757","2,701,507","2,666,845","2,807,344","3,150,449","3,760,001","3,666,793","4,508,989"
Contra Costa County,"105,543,908","113,663,987","125,596,136","122,539,915","121,729,156","125,642,608","105,183,767","105,130,830","105,519,307","105,058,379","103,356,938","88,682,345","92,072,767","97,804,641","105,816,401","109,607,327","113,376,339","129,381,897","162,858,591","168,251,927","181,800,081"
Del Norte County,"1,504,374","1,630,048","1,808,539","1,830,146","1,878,447","1,945,257","1,668,307","1,647,653","1,763,912","1,777,099","1,701,048","1,502,372","1,546,374","1,622,902","1,731,756","1,726,316","1,865,457","1,931,911","2,468,465","2,531,597","2,750,411"
El Dorado County,"10,770,932","12,464,711","13,657,899","14,355,337","14,945,436","15,811,484","13,775,308","14,556,600","14,377,258","14,265,546","12,752,529","11,477,005","11,860,539","12,544,420","13,365,053","14,289,465","14,731,308","17,217,860","22,387,295","23,516,597","25,517,785"
Fresno County,"72,863,855","80,498,040","86,153,447","86,735,312","92,523,202","100,837,134","87,141,629","93,234,703","94,107,003","91,220,039","84,073,965","74,602,462","76,804,593","86,178,327","91,399,804","96,312,158","100,794,814","117,788,689","142,010,741","149,426,389","159,329,274"
Glenn County,"1,985,841","2,193,676","2,396,152","2,366,439","2,329,945","2,790,175","2,324,500","2,489,029","2,510,649","2,375,451","2,275,337","2,007,812","2,118,592","2,409,983","2,510,577","2,532,450","2,610,316","3,052,589","4,024,691","4,377,432","4,712,981"
Humboldt County,"11,504,567","12,522,298","13,172,317","13,249,584","13,684,625","14,411,456","12,274,943","12,433,560","12,914,264","13,048,395","12,133,600","12,008,766","12,671,045","12,730,015","13,402,335","14,051,747","14,420,411","16,709,148","21,753,490","21,936,667","20,850,499"
Imperial County,"11,073,957","13,774,127","14,135,694","13,957,142","14,940,847","15,986,998","13,930,121","15,807,872","16,249,210","16,799,184","15,605,547","13,734,907","15,215,902","16,518,210","20,975,726","25,301,804","21,499,148","21,312,492","24,489,816","27,109,166","27,183,056"
Inyo County,"2,304,285","2,574,891","2,506,893","2,669,960","2,602,425","2,654,713","2,378,147","2,412,922","2,457,640","2,486,669","2,324,950","2,217,452","2,359,591","2,522,257","2,555,783","2,372,186","2,575,873","2,831,967","3,504,326","3,626,756","3,828,348"
Kern County,"59,519,741","65,347,498","71,792,549","77,030,856","78,050,497","82,312,360","75,677,704","84,763,475","90,264,873","89,097,921","87,543,732","73,213,949","89,053,683","107,850,977","108,528,612","115,629,101","116,042,122","116,845,006","137,668,641","141,230,492","159,418,274"
Kings County,"7,235,260","8,294,233","9,325,170","9,509,907","10,510,840","10,131,170","8,554,552","9,635,803","9,790,631","10,071,586","10,121,507","8,724,893","9,031,203","10,139,897","10,502,175","10,976,917","11,964,823","15,033,475","16,255,813","17,210,067","17,935,870"
Lake County,"3,456,759","4,081,415","4,190,864","4,523,522","4,491,540","4,734,964","4,194,327","4,117,546","4,383,049","4,194,061","4,114,937","3,444,978","3,617,253","3,888,368","4,003,495","4,135,510","4,022,982","4,802,335","5,941,617","6,204,712","6,372,533"
Lassen County,"1,987,882","2,139,480","2,217,184","2,362,980","2,508,215","2,518,593","2,085,668","2,247,497","2,079,727","2,176,362","1,779,913","1,654,856","1,642,293","1,833,901","1,860,434","1,881,837","1,984,747","2,418,225","3,288,866","3,624,392","2,765,425"
Los Angeles County,"939,635,426","1,009,849,271","1,088,126,572","1,074,728,821","1,110,922,349","1,170,803,254","990,643,825","1,016,034,790","1,036,880,422","1,032,780,021","937,741,939","841,273,884","889,082,806","970,537,574","1,022,661,346","1,063,866,162","1,115,959,897","1,258,996,171","1,563,650,984","1,595,735,313","1,721,925,529"
Madera County,"7,994,419","8,558,863","8,880,331","8,605,227","9,408,634","10,300,098","9,505,307","10,679,210","10,861,577","10,644,867","9,357,431","8,251,616","8,992,881","10,059,816","10,411,976","10,901,785","11,511,146","12,548,290","15,625,579","16,671,361","17,434,342"
Marin County,"34,446,606","38,117,495","41,254,204","39,039,378","38,782,290","39,518,783","32,344,878","32,063,811","32,601,008","33,008,412","29,655,935","27,769,050","29,370,318","30,848,418","33,086,586","35,076,834","37,100,497","41,732,344","51,415,491","52,256,552","56,076,840"
Mariposa County UNINCORPORATED,"1,219,519","1,299,751","1,293,522","1,311,119","1,375,227","1,362,726","1,288,206","1,303,482","1,269,417","1,279,765","1,253,134","1,207,833","1,245,394","1,325,930","1,364,958","1,343,024","1,425,911","1,612,126","1,989,838","2,110,613","2,105,928"
Mendocino County,"8,348,202","9,323,511","9,936,620","10,112,538","10,562,454","10,820,406","9,142,272","9,063,766","9,532,815","9,705,476","8,898,841","7,951,545","8,269,300","8,940,422","9,312,416","9,773,002","10,235,989","11,102,670","14,254,246","14,860,835","15,572,152"
Merced County,"15,008,801","16,729,203","17,692,367","18,606,947","19,248,184","20,784,853","18,565,382","19,986,285","19,240,850","18,911,274","17,037,078","15,841,701","16,386,090","18,343,710","19,025,651","20,191,234","21,216,560","23,967,569","28,240,623","30,086,962","32,466,380"
Modoc County,"658,978","640,112","824,596","702,362","860,421","573,471","686,798","644,441","675,725","690,350","680,644","597,023","561,783","698,926","751,637","656,754","693,793","743,975","958,376","920,664","904,989"
Mono County,"1,643,676","1,939,966","2,088,093","2,108,059","2,275,081","2,353,040","2,047,371","2,205,975","2,177,306","2,011,111","1,777,836","1,571,922","1,636,967","1,750,182","1,792,072","1,886,110","1,772,494","2,199,351","2,908,495","3,010,659","3,309,707"
Monterey County,"37,014,093","45,027,921","50,277,149","50,700,745","48,539,566","48,125,053","42,237,820","42,205,364","42,869,265","42,233,569","38,586,798","35,293,622","38,175,682","40,530,282","42,999,338","44,710,690","48,266,449","53,213,814","67,651,421","69,887,381","76,664,847"
Napa County,"15,164,746","17,764,365","19,637,239","19,540,547","20,515,185","20,481,949","16,902,919","18,065,000","18,491,291","19,406,649","18,343,634","16,771,284","17,445,678","19,423,801","20,624,427","22,355,520","23,648,300","27,278,909","33,941,621","35,358,173","38,110,902"
Nevada County,"8,065,751","9,555,608","10,195,171","10,293,676","10,405,790","11,095,868","9,588,109","9,880,164","10,375,348","9,643,152","8,542,005","7,427,288","7,749,142","8,133,423","8,349,909","8,836,936","9,258,717","10,630,489","13,580,780","14,457,903","14,850,938"
Orange County,"364,111,666","422,382,768","456,140,246","444,337,382","457,155,894","490,594,399","420,697,877","426,484,647","434,281,937","429,314,476","381,386,266","340,455,501","368,497,273","396,020,803","418,356,843","438,087,879","451,252,927","511,198,001","629,769,703","628,824,240","698,273,355"
Placer County,"35,262,744","42,490,316","49,627,445","52,535,522","56,638,648","61,754,287","53,494,216","56,147,538","56,449,947","54,770,432","46,242,761","43,523,355","45,729,996","50,218,505","53,765,463","58,308,734","61,679,853","71,909,946","91,228,194","94,936,692","102,631,104"
Plumas County,"1,542,915","1,745,689","1,977,206","1,911,904","2,051,317","2,081,737","1,824,605","1,876,198","1,884,113","1,804,482","1,574,653","1,330,941","1,349,799","1,511,660","1,478,869","1,537,886","1,488,169","1,684,911","2,293,351","2,566,887","2,411,577"
Riverside County,"136,563,744","158,505,081","174,923,535","186,184,630","200,861,921","228,634,770","206,470,533","223,019,884","224,006,208","212,517,665","183,675,373","165,755,551","178,716,323","196,345,326","216,388,091","229,132,102","242,789,358","275,300,978","346,504,866","367,348,457","404,446,340"
Sacramento County,"137,138,317","156,535,604","170,816,250","172,956,705","178,355,128","192,049,546","162,764,579","164,676,311","157,732,942","152,519,120","137,498,390","122,905,203","128,715,307","137,637,923","145,563,842","152,254,823","159,364,794","185,522,693","235,693,495","246,814,890","265,215,393"
San Benito County,"3,959,304","4,350,483","4,942,400","5,036,630","5,059,427","4,907,435","4,241,136","4,090,973","3,851,198","4,126,019","3,569,615","3,224,382","3,497,557","3,671,074","4,167,393","4,222,602","4,420,030","5,068,881","6,710,256","8,410,966","7,470,073"
San Bernardino County,"160,793,682","176,243,346","194,349,455","199,073,802","215,208,243","234,809,806","216,142,672","235,635,920","234,913,485","224,501,220","196,595,388","176,953,562","190,022,998","211,020,244","223,249,186","235,072,691","252,330,949","300,202,080","367,628,192","388,464,966","418,288,575"
San Diego County,"306,738,684","340,139,683","370,525,363","380,322,110","395,453,439","421,321,345","358,750,868","360,285,309","360,954,157","354,437,801","323,380,885","297,614,404","320,594,812","344,088,982","359,965,186","378,899,394","399,501,827","449,627,398","562,678,664","573,363,388","613,506,282"
San Francisco,"115,864,125","128,401,032","143,360,045","118,796,197","116,081,592","117,858,342","99,278,534","102,230,249","106,375,594","111,944,869","105,822,598","94,432,891","104,430,291","115,585,326","121,829,795","130,678,869","140,423,423","155,200,320","195,070,123","189,388,197","211,294,314"
San Joaquin County,"51,990,424","60,192,825","68,341,588","70,576,688","74,975,452","80,961,799","71,563,206","74,505,486","71,240,009","69,406,468","61,848,829","54,357,028","58,093,943","65,618,211","68,140,986","72,213,435","76,177,485","88,062,444","112,983,415","127,954,720","140,653,458"
San Luis Obispo County,"23,862,699","27,155,901","28,925,666","32,021,194","32,943,435","34,557,903","29,768,569","31,635,416","31,605,921","31,449,435","28,328,142","25,971,442","27,945,083","31,277,150","38,742,686","37,960,646","38,968,293","41,349,766","49,935,305","52,060,172","55,221,327"
San Mateo County,"112,838,614","126,777,124","143,188,335","123,429,560","116,000,956","114,068,130","94,252,897","96,307,426","99,096,414","104,146,402","95,098,335","83,574,859","91,096,863","99,641,224","105,590,023","111,006,127","115,734,057","127,981,600","160,612,351","166,822,939","182,326,061"
Santa Barbara County,"41,816,290","45,976,548","49,397,331","50,530,908","51,799,710","53,516,669","44,622,221","44,727,179","46,352,679","45,904,252","41,562,087","38,459,712","40,107,753","43,914,287","45,938,271","47,762,392","50,155,998","56,023,503","70,320,283","70,246,132","75,991,957"
Santa Clara County,"278,870,482","321,723,707","383,721,616","302,956,969","270,430,250","275,628,591","232,985,562","240,507,965","247,429,182","256,150,920","227,867,422","209,454,789","235,383,794","259,288,541","274,180,365","283,615,041","300,653,676","345,129,645","422,228,604","432,922,200","471,184,750"
Santa Cruz County,"24,295,496","27,200,305","29,931,873","28,581,670","28,200,563","28,356,755","23,650,971","23,867,765","24,041,204","23,606,063","21,585,964","20,041,797","20,678,618","22,183,819","23,269,469","24,841,653","25,654,318","29,491,109","36,641,719","38,132,227","40,613,135"
Shasta County,"16,560,515","19,235,755","21,224,535","22,117,719","23,149,532","24,275,366","21,007,180","21,580,333","22,046,384","21,037,047","18,770,333","18,116,097","18,193,846","19,375,767","19,838,036","20,943,881","21,149,183","23,549,190","29,916,159","31,294,867","33,892,110"
Sierra County,"216,903","159,550","229,306","193,418","266,588","158,295","185,351","197,110","188,802","181,605","145,613","130,152","136,879","114,301","197,256","118,909","156,229","147,401","213,274","228,531","244,299"
Siskiyou County,"3,360,065","3,613,251","3,963,577","3,885,025","4,108,398","4,201,253","3,703,581","3,747,575","3,915,490","3,916,698","3,711,570","3,155,004","3,335,589","3,880,744","3,936,989","4,118,450","4,297,518","4,820,832","5,807,810","6,082,218","6,283,038"
Solano County,"35,207,609","41,149,149","45,913,463","48,122,644","52,281,269","54,101,560","46,276,208","47,849,556","47,414,850","46,234,763","43,654,472","39,552,593","39,565,445","44,299,955","46,922,983","47,123,979","51,363,550","58,066,034","73,635,942","76,584,362","82,036,094"
Sonoma County,"55,100,104","63,329,227","69,863,352","67,247,430","67,575,877","69,375,296","57,864,426","59,012,299","59,992,134","58,712,977","52,947,911","46,781,407","49,660,065","53,124,301","56,308,802","61,042,739","63,909,057","71,980,111","91,344,572","96,159,047","102,950,687"
Stanislaus County,"43,342,195","48,678,070","53,682,544","56,306,071","59,806,788","63,681,126","54,676,674","56,322,064","54,847,932","52,662,025","48,881,812","43,483,436","46,895,735","50,887,156","54,358,628","57,903,664","59,768,470","68,029,661","88,526,891","90,338,567","96,805,833"
