city_county,FY1998-99,FY1999-00,FY2000-01,FY2001-02,FY2002-03,FY2003-04,FY2004-05,FY2005-06,FY2006-07,FY2007-08,FY2008-09,FY2009-10,FY2010-11,FY2011-12,FY2012-13,FY2013-14,FY2014-15,FY2015-16,FY2016-17,FY2017-18,FY2018-19
Morro Bay,"1,143,757","1,221,793","1,366,542","1,323,666","1,314,006","1,390,553","1,143,232","1,106,476","1,141,060","1,166,441","1,051,564","978,585","1,027,064","2,367,044","1,156,785","1,190,056","1,205,132","1,366,145","1,653,942","1,804,145","1,969,846"
El Paso de Robles,"3,843,875","4,476,910","4,893,470","5,382,597","5,723,556","6,159,499","5,568,906","6,036,427","6,019,531","5,683,661","4,985,151","4,812,365","5,209,598","1,066,356","5,851,182","6,129,366","6,472,308","7,615,862","9,842,036","10,211,087","10,702,200"
Pismo Beach,"1,346,372","1,485,118","1,555,974","1,604,000","1,663,230","1,769,605","1,587,081","1,560,684","1,796,494","1,624,030","1,678,136","1,563,133","1,578,380","1,781,467","1,845,195","1,988,869","2,040,443","2,310,684","2,852,310","2,917,815","3,083,456"
San Luis Obispo,"8,042,956","9,083,218","9,383,421","10,195,341","10,351,762","11,314,531","9,457,354","9,972,662","10,390,146","10,051,350","9,209,660","8,607,745","9,200,998","10,060,718","10,589,767","11,346,006","11,653,722","13,349,633","16,743,053","16,671,361","17,652,606"
San Mateo County unincorporated,"13,035,200","15,664,891","18,243,493","14,598,384","14,327,220","14,318,924","11,172,373","11,752,735","12,467,402","13,686,437","14,678,853","12,987,187","14,408,991","16,749,524","18,818,073","18,716,801","18,849,967","19,181,087","23,878,042","24,056,794","28,546,992"
Atherton,"231,075","519,367","191,354","103,329","106,680","86,970","92,369","99,296","126,740","109,411","105,861","80,039","114,966","169,427","119,390","129,874","526,174","171,212","253,508","215,173","221,126"
Belmont,"3,042,217","3,465,003","3,999,351","3,410,808","2,744,556","2,491,214","2,111,869","2,485,643","2,302,806","2,310,917","2,105,071","1,648,000","1,906,585","1,875,211","2,031,492","2,064,961","2,268,698","2,684,996","3,476,839","3,178,083","3,632,179"
Brisbane,"2,389,397","2,484,660","2,064,440","2,877,427","2,367,263","2,609,111","2,953,795","2,981,397","3,364,330","6,839,370","3,343,842","3,805,622","2,323,953","3,291,925","1,928,837","2,182,936","2,236,417","2,838,814","4,392,754","4,963,603","5,486,214"
Burlingame,"8,455,403","9,578,078","10,953,711","9,399,307","8,350,705","8,636,008","6,967,485","6,789,613","6,961,495","6,952,840","6,018,635","5,207,890","5,995,174","6,316,072","6,765,163","7,431,073","8,288,762","9,631,896","11,936,707","12,140,757","14,374,029"
Colma,"6,943,578","8,173,313","8,986,727","8,380,330","8,068,217","7,897,564","6,280,538","6,402,427","6,044,899","5,699,718","4,820,310","4,764,428","4,995,622","5,393,355","6,129,913","6,906,071","7,550,348","8,499,776","11,094,159","11,294,850","11,702,118"
Daly City,"6,927,534","7,051,424","7,752,117","7,257,886","7,772,760","7,812,734","6,471,783","6,364,755","7,078,370","7,219,504","6,715,220","6,106,925","6,386,146","6,915,227","7,466,104","7,714,056","7,925,111","9,031,439","11,321,964","12,117,323","13,798,273"
