Incident Number,Incident Name,Incident Type,Latitude,Longitude,Size,Unit of Measure,Costs,Structures Destroyed,start_date,year,county
CA-KNF-005514,LOG,WF,42,123,3632.0,Acres,49873117.0,0,2014-07-30,2014,Siskiyou
CA-LNF-003479,Bald,WF,41,121,39736.0,Acres,10750000.0,0,2014-07-30,2014,Shasta
CA-LNU-005333,BUTTS,WF,39,122,4300.0,Acres,7200000.0,9,2014-07-01,2014,Colusa
CA-LNU-005465,Monticello,WF,39,122,6488.0,Acres,9456404.0,0,2014-07-04,2014,Colusa
CA-NOD-003320,MALT,WF,42,120,1054.0,Acres,481000.0,0,2014-07-23,2014,Modoc
CA-NEU-023454,APPLEGATE,WF,39,121,459.0,Acres,7680985.0,10,2014-10-08,2014,Placer
CA-KNF-005443,KNF LEEF,WF,41,123,17.0,Acres,55000.0,0,2014-07-29,2014,Siskiyou
CA-KNF-005497,KNF Beaver,WF,42,123,32496.0,Acres,27128721.0,6,2014-07-30,2014,Siskiyou
CA-KNF-006010,KEMPER,WF,42,123,152.0,Acres,80000.0,0,2014-08-11,2014,Siskiyou
CA-SWR-001266,TRACT 17,WF,39,122,395.0,Acres,12000.0,0,2014-09-17,2014,Colusa
CA-SHF-002423,COFFEE COMPLEX,WF,41,123,6178.0,Acres,5400000.0,0,2014-08-02,2014,Siskiyou
CA-LNF-003502,EILER,WF,41,122,32416.0,Acres,26334929.0,21,2014-07-31,2014,Shasta
CA-MEU-007202,LODGE COMPLEX,WF,40,124,12536.0,Acres,41500000.0,0,2014-07-30,2014,Humboldt
CA-MEU-008882,BLACK,WF,39,123,403.0,Acres,1159000.0,11,2014-09-13,2014,Lake
CA-KNF-005575,LITTLE DEER,WF,42,122,5503.0,Acres,4375000.0,1,2014-07-31,2014,Siskiyou
CA-KNF-005991,Delta,WF,42,123,150.0,Acres,45000.0,0,2014-08-11,2014,Siskiyou
CA-KNF-005956,Happy Camp Complex,WF,42,123,134056.0,Acres,88214725.0,6,2014-08-14,2014,Siskiyou
CA-SHU-006248,BULLY,WF,40,123,12661.0,Acres,23865759.0,20,2014-07-11,2014,Trinity
CA-SHU-008322,GULCH,WF,41,122,1375.0,Acres,5522123.0,4,2014-09-10,2014,Shasta
CA-KNF-006008,Frying Pan,WF,42,123,1066.0,Acres,125000.0,0,2014-08-11,2014,Siskiyou
CA-KNF-005564,JULY COMPLEX,WF,41,123,50042.0,Acres,50440981.0,2,2014-08-03,2014,Siskiyou
CA-SHF-002410,Coffee,WF,41,123,4665.0,Acres,1500000.0,0,2014-07-30,2014,Siskiyou
CA-MCP-001352,Pulgas,WF,34,117,6500.0,Acres,100000.0,0,2014-05-15,2014,San Bernardino
CA-ANF-004034,TECOLOTE,WF,34,118,274.0,Acres,1500000.0,0,2014-08-17,2014,Los Angeles
CA-TCU-005028,HETCHY,WF,38,120,269.0,Acres,10000.0,0,2014-06-05,2014,Tuolumne
CA-MCP-001359,Combat,WF,33,118,300.0,Acres,10000.0,0,2014-05-16,2014,San Diego
CA-BDF-006646,ETIWANDA,WF,34,118,2143.0,Acres,4000000.0,0,2014-04-30,2014,Los Angeles
CA-INF-001351,JUNE,WF,38,119,65.0,Acres,1828084.0,0,2014-09-16,2014,Mono
CA-STF-003543,MONTGOMERY,WF,38,120,79.0,Acres,100000.0,0,2014-09-08,2014,Tuolumne
CA-BDU-004595,BRIDGES,WF,37,118,113.0,Acres,380897.0,0,2014-04-19,2014,Inyo
CA-FKU-1194,Lake,WF,37,119,106.0,Acres,340074.0,0,2014-01-25,2014,Fresno
CA-CND-003148,WAY,WF,36,118,4045.0,Acres,6900000.0,12,2014-08-18,2014,Kern
CA-MMU-013131,Kelley,WF,37,121,930.0,Acres,0.0,0,2014-07-26,2014,Merced
CA-MMU-015818,BRIDGE,WF,37,120,300.0,Acres,5404338.0,0,2014-09-05,2014,Madera
CA-TCU-005584,REED,WF,38,121,109.0,Acres,100000.0,0,2014-06-20,2014,San Joaquin
CA-YNP-000124,DOG ROCK,WF,38,120,311.0,Acres,2540000.0,0,2014-10-07,2014,Tuolumne
CA-MCP-001554,Tomahawk,WF,33,117,5400.0,Acres,500000.0,0,2014-05-14,2014,San Diego
CA-MVU-010055,Bernardo,WF,33,117,1548.0,Acres,2700000.0,0,2014-05-13,2014,San Diego
CA-MVU-010212,Cocos,WF,33,117,800.0,Acres,6413677.0,0,2014-05-14,2014,San Diego
CA-YNP-000101,Meadow,WF,38,120,4772.0,Acres,4905000.0,0,2014-08-15,2014,Tuolumne
CA-LAC-065279,Pine Fire,WF,35,119,109.0,Acres,1800000.0,0,2014-03-14,2014,Kern
CA-ANF-003975,Shoemaker,WF,34,125,190.0,Acres,700000.0,0,2014-08-14,2014,Los Angeles
CA-MMU-008974,Hunter,WF,38,120,677.0,Acres,4448044.0,3,2014-05-26,2014,Tuolumne
CA-MMU-014633,JUNCTION,WF,37,120,612.0,Acres,4917095.05,47,2014-08-18,2014,Madera
CA-MVU-010242,San Diego Complex,WF,33,117,2436.0,Acres,11519214.0,43,2014-05-14,2014,San Diego
CA-FHL-001739,HILL,WF,36,121,206.0,Acres,800000.0,0,2014-06-23,2014,Monterey
CA-ANF-231,Colby,WF,34,118,1952.0,Acres,6999000.0,15,2014-01-16,2014,Los Angeles
CA-CBD-003777,Poinsettia,WF,33,117,600.0,Acres,0.0,28,2014-05-14,2014,San Diego
CA-CNF-002873,Silverado,WF,34,118,959.0,Acres,4930000.0,0,2014-09-12,2014,Los Angeles
CA-SQF-120,SODA,WF,36,119,1612.0,Acres,520000.0,0,2014-01-14,2014,Tulare
CA-SNF-001619,FRENCH,WF,37,119,13838.0,Acres,21600000.0,0,2014-07-28,2014,Fresno
CA-SQF-002381,NICOLLS,WF,36,118,1680.0,Acres,7000000.0,0,2014-07-11,2014,Kern
CA-SQF-002142,RANCH,WF,36,119,70.0,Acres,6500000.0,0,2014-07-01,2014,Tulare
CA-YNP-000057,Dark Hole,WF,38,120,1080.0,Acres,1050582.0,0,2014-07-16,2014,Tuolumne
