year,acres_burned
1950.0,281.03033
1950.0,168.36388
1950.0,3150.342
1950.0,2445.0261
1950.0,3537.7358
1950.0,729.42126
1950.0,747.01776
1950.0,4233.771
1950.0,423.42217999999997
1950.0,5142.8262
1950.0,339.28561
1950.0,12633.156
1950.0,202.31241
1950.0,230.15007000000003
1950.0,122.49591000000001
1950.0,787.99719
1950.0,382.83121
1950.0,863.1188400000001
1950.0,380.80062999999996
1950.0,416.14505
1950.0,103.9235
1950.0,505.45227
1950.0,558.76892
1950.0,540.65521
1950.0,944.9351800000001
1950.0,5117.6152
1950.0,972.14532
1950.0,495.27362
1950.0,407.01837
1950.0,505.60614000000004
1950.0,537.27911
1950.0,651.69116
1950.0,264.39462000000003
1950.0,1654.0847
1950.0,669.48492
1950.0,2709.946
1950.0,306.2337
1950.0,4885.9102
1950.0,236.08279
1950.0,886.99048
1950.0,321.73221
1950.0,1362.4535
1950.0,1609.9608
1950.0,20618.951
1950.0,821.59113
1950.0,62848.742
1950.0,863.02271
1950.0,313.15207000000004
1950.0,6681.5303
1950.0,106.80686000000001
1950.0,4096.6401
1950.0,9185.3154
1950.0,35380.453
1950.0,298.65735
1950.0,433.51086
1950.0,201.37136999999998
1950.0,466.35211
1950.0,309.0549
1950.0,417.78796
1950.0,114.5265
1950.0,13187.957
1950.0,684.0400400000001
1950.0,298.11908
1950.0,719.51221
1950.0,1133.3644
1950.0,1562.2216
1950.0,684.90491
1950.0,988.4200400000001
1950.0,567.00873
1950.0,276.0462
1950.0,3941.2673
1950.0,568.12494
1950.0,383.22393999999997
1950.0,1190.8698
1950.0,105.46166000000001
1950.0,3609.2874
1950.0,455.65717
1950.0,189.23814
1950.0,292.87557999999996
1950.0,3864.0083
1950.0,2600.5652
1950.0,522.77081
1950.0,2660.0852
1950.0,652.52783
1950.0,554.72662
1950.0,673.6673599999999
1950.0,1423.8757
1950.0,1034.7035
1950.0,297.01517
1950.0,218.52084
1950.0,224.74646
1950.0,100.41675
1950.0,146.88326999999998
1950.0,618.24774
1950.0,4616.3203
1950.0,6455.313
1950.0,877.98059
1950.0,2178.0686
1950.0,6515.2637
1950.0,365.86075
1950.0,344.83987
1950.0,432.60250999999994
1950.0,3256.4446
1950.0,10689.851999999999
1950.0,384.19174
1950.0,444.88485999999995
1950.0,7242.5225
1950.0,1330.0952
1950.0,5165.2568
1950.0,439.35239
1950.0,2195.8232
1950.0,257.76337
1950.0,5466.3965
1950.0,710.0827
1950.0,8955.9785
1950.0,315.01813
1950.0,2274.1228
1950.0,3671.0891
