Incident Number,Incident Name,Incident Type,Latitude,Longitude,Size,Unit of Measure,Costs,Structures Destroyed,Fire Name,start_date,year,county,cost_per_acre,structures_per_acre
CA-SQF-001989,GARDEN,WF,36,119,1350.0,Acres,1900000.0,0,GARDEN,2017-07-30,2017,Tulare,1407.4074074074074,0.0
CA-SQF-002753,LION,WF,36,118,19215.0,Acres,2500000.0,0,LION,2017-09-25,2017,Kern,130.10668748373666,0.0
CA-TCU-009024,JACKSONVILLE,WF,38,120,690.0,Acres,715000.0,1,JACKSONVILLE,2017-07-29,2017,Tuolumne,1036.231884057971,0.0014492753623188406
CA-YNP-000084,Empire,WF,38,120,8094.0,Acres,1279363.0,0,EMPIRE,2017-08-01,2017,Tuolumne,158.06313318507537,0.0
CA-RRU-099747,BLAINE,WF,34,117,1044.0,Acres,832000.0,0,BLAINE,2017-08-13,2017,San Bernardino,796.9348659003831,0.0
CA-RRU-151090,LIBERTY,WF,34,117,300.0,Acres,1000000.0,3,LIBERTY,2017-12-07,2017,San Bernardino,3333.3333333333335,0.01
CA-SBC-012621,RUCKER,WF,35,120,444.0,Acres,1866316.0,0,RUCKER,2017-09-29,2017,Santa Barbara,4203.414414414415,0.0
CA-KRN-024894,TARINA,WF,35,119,1200.0,Acres,250000.0,0,TARINA,2017-06-30,2017,Kern,208.33333333333334,0.0
CA-LFD-000965,La Tuna,WF,34,118,7194.0,Acres,7800000.0,10,LA TUNA,2017-09-01,2017,Los Angeles,1084.2368640533778,0.0013900472616068947
CA-BDU-009854,Bridge 2,WF,34,117,460.0,Acres,1299517.0,0,BRIDGE 2,2017-07-14,2017,San Bernardino,2825.0369565217393,0.0
CA-BDF-006700,TOWER,WF,34,117,150.0,Acres,200000.0,0,TOWER,2017-04-30,2017,San Bernardino,1333.3333333333333,0.0
CA-FHL-001267,RANGE,WF,36,121,1972.0,Acres,50000.0,0,RANGE,2017-06-05,2017,Monterey,25.35496957403651,0.0
CA-ORC-110494,CANYON 2,WF,34,118,9217.0,Acres,13725000.0,25,CANYON 2,2017-10-09,2017,Los Angeles,1489.096235217533,0.002712379299121189
CA-MMU-014474,DETWILER,WF,38,120,81826.0,Acres,90000000.0,131,DETWILER,2017-07-16,2017,Tuolumne,1099.8948989318799,0.001600958130667514
CA-SLU-010107,MARGARITA,WF,35,120,120.0,Acres,369935.0,0,MARGARITA,2017-09-04,2017,Santa Barbara,3082.7916666666665,0.0
CA-KRN-031474,ROSE,WF,35,119,338.0,Acres,150000.0,0,ROSE,2017-08-10,2017,Kern,443.7869822485207,0.0
CA-LAC-187296,PLACERITA IC,WF,34,118,760.0,Acres,560000.0,3,PLACERITA IC,2017-06-25,2017,Los Angeles,736.8421052631579,0.003947368421052632
CA-MCP-001494,DELUZ,WF,33,117,486.0,Acres,100000.0,0,DELUZ,2017-05-19,2017,San Diego,205.76131687242798,0.0
CA-BDF-009802,MART,WF,34,117,670.0,Acres,1000000.0,0,MART,2017-06-27,2017,San Bernardino,1492.5373134328358,0.0
CA-BEU-0003551,PARKFIELD,WF,36,121,1816.0,Acres,100000.0,1,PARKFIELD,2017-07-09,2017,Monterey,55.06607929515418,0.0005506607929515419
CA-FKU-010248,PARK,WF,36,120,1649.0,Acres,7753000.0,0,PARK,2017-07-17,2017,Kings,4701.637355973317,0.0
CA-MMU-013291,SPRING,WF,37,120,225.0,Acres,2500000.0,0,SPRING,2017-07-02,2017,Madera,11111.111111111111,0.0
CA-OVD-001478,SLINKARD,WF,39,120,8925.0,Acres,5708000.0,0,SLINKARD,2017-08-29,2017,Douglas,639.5518207282913,0.0
CA-INF-001235,GRANT,WF,38,119,400.0,Acres,748779.0,0,GRANT,2017-08-01,2017,Mono,1871.9475,0.0
CA-INF-001264,INDIAN,WF,36,118,2295.0,Acres,3400000.0,0,INDIAN,2017-08-03,2017,Kern,1481.4814814814815,0.0
CA-MMU-011650,OAKWOOD,WF,37,120,1431.0,Acres,1500000.0,0,OAKWOOD,2017-06-10,2017,Madera,1048.2180293501049,0.0
CA-MMU-013022,BEN,WF,37,120,630.0,Acres,2708850.0,0,BEN,2017-06-28,2017,Madera,4299.761904761905,0.0
CA-MMU-018116,PEAK,WF,37,120,680.0,Acres,1000000.0,2,PEAK,2017-09-03,2017,Madera,1470.5882352941176,0.0029411764705882353
CA-SNF-001476,BUTTE,WF,38,119,635.0,Acres,1250000.0,0,BUTTE,2017-08-07,2017,Mono,1968.5039370078741,0.0
CA-TUU-000420,Elephant,WF,36,119,416.0,Acres,250000.0,0,ELEPHANT,2017-07-21,2017,Tulare,600.9615384615385,0.0
CA-STF-002590,CREEK,WF,38,120,1749.0,Acres,250000.0,0,CREEK,2017-09-04,2017,Tuolumne,142.9388221841052,0.0
CA-STF-001940,DOUGLAS,WF,38,120,311.0,Acres,400000.0,0,DOUGLAS,2017-07-31,2017,Tuolumne,1286.1736334405145,0.0
CA-TUU-000441,ROADRUNNER,WF,36,119,2289.0,Acres,800000.0,0,ROADRUNNER,2017-07-30,2017,Tulare,349.4975972040192,0.0
CA-VNC-103156,THOMAS,WF,34,119,281893.0,Acres,203211950.0,1063,THOMAS,2017-12-05,2017,Ventura,720.8832784070552,0.0037709343616194797
CA-SLU-007792,STONE,WF,35,120,340.0,Acres,1014074.0,7,STONE,2017-07-09,2017,Santa Barbara,2982.570588235294,0.020588235294117647
CA-RRU-053193,OPERA,WF,34,117,1350.0,Acres,610000.0,0,OPERA,2017-04-30,2017,San Bernardino,451.85185185185185,0.0
CA-LFD-030179,SKIRBALL,WF,34,118,422.0,Acres,8156400.0,6,SKIRBALL,2017-12-06,2017,Los Angeles,19327.962085308056,0.014218009478672985
CA-MVU-024612,LILAC 5,WF,33,117,4100.0,Acres,12998946.0,157,LILAC 5,2017-12-07,2017,San Diego,3170.4746341463415,0.03829268292682927
