Incident Number,Incident Name,Incident Type,Latitude,Longitude,Size,Unit of Measure,Costs,Structures Destroyed,Fire Name,start_date,year,county,cost_per_acre,structures_per_acre
CA-SNF-000745,FERGUSON,WF,38,120,96901.0,Acres,118500000.0,11,FERGUSON,2018-07-14,2018,Tuolumne,1222.8975965160319,0.00011351792035169915
CA-ANF-003454,FORK,WF,34,118,166.0,Acres,834139.0,0,FORK,2018-09-09,2018,Los Angeles,5024.933734939759,0.0
CA-ORC-064103,SANTIAGO,WF,34,118,155.0,Acres,700000.0,0,SANTIAGO,2018-06-11,2018,Los Angeles,4516.129032258064,0.0
CA-CNF-002238,WEST,WF,33,117,505.0,Acres,1200000.0,56,WEST,2018-07-06,2018,San Diego,2376.237623762376,0.11089108910891089
CA-VNC-103156,THOMAS,WF,34,119,281893.0,Acres,230000000.0,1063,THOMAS,2017-12-05,2017,Ventura,815.9124206702543,0.0037709343616194797
CA-INF-001394,OWENS,WF,38,119,338.0,Acres,434432.0,0,OWENS,2018-07-31,2018,Mono,1285.301775147929,0.0
CA-MVU-008372,RECYCLE,WF,33,116,265.0,Acres,1232781.0,0,RECYCLE,2018-06-06,2018,San Diego,4652.0037735849055,0.0
CA-BEU-003889,TURKEY,WF,36,120,2225.0,Acres,150000.0,0,TURKEY,2018-08-06,2018,Kings,67.41573033707866,0.0
CA-KNP-000169,Eden,WF,36,119,1777.0,Acres,120000.0,0,EDEN,2018-10-04,2018,Tulare,67.52954417557682,0.0
CA-MMU-019816,OAK,WF,37,120,360.0,Acres,2400000.0,0,OAK,2018-09-22,2018,Madera,6666.666666666667,0.0
CA-SNF-000493,LIONS,WF,38,119,12990.0,Acres,13919710.73,0,LIONS,2018-06-11,2018,Mono,1071.5712648190915,0.0
CA-LAC-166129,Stone,WF,35,119,1352.0,Acres,2900000.0,0,STONE,2018-06-04,2018,Kern,2144.9704142011833,0.0
CA-BDF-011390,CRANSTON,WF,34,117,13139.0,Acres,22062454.0,12,CRANSTON,2018-07-25,2018,San Bernardino,1679.1577745642744,0.0009133115153360225
CA-BEU-002837,BEAVER,WF,36,121,215.0,Acres,2041752.0,0,BEAVER,2018-06-12,2018,Monterey,9496.520930232558,0.0
CA-BEU-002668,EASTERN,WF,36,121,513.0,Acres,1900000.0,0,EASTERN,2018-06-05,2018,Monterey,3703.703703703704,0.0
CA-RRU-090869,SKYLINE,WF,34,118,282.0,Acres,2200000.0,0,SKYLINE,2018-07-19,2018,Los Angeles,7801.418439716312,0.0
CA-SBC-008657,HOLIDAY,WF,34,120,113.0,Acres,1000000.0,22,HOLIDAY,2018-07-06,2018,Santa Barbara,8849.557522123894,0.19469026548672566
CA-VNC-090993,Hill,WF,34,119,4531.0,Acres,9801215.0,4,HILL,2018-11-08,2018,Ventura,2163.1461046126683,0.0008828073273008167
CA-MMU-011264,O'NEALS,WF,37,120,300.0,Acres,350000.0,0,O'NEALS,2018-06-05,2018,Madera,1166.6666666666667,0.0
CA-SQF-002140,CALL,WF,36,119,367.0,Acres,775000.0,0,CALL,2018-08-18,2018,Tulare,2111.716621253406,0.0
CA-SQF-002733,ALDER,WF,36,119,4654.0,Acres,3169809.0,0,ALDER,2018-10-04,2018,Tulare,681.0934679845294,0.0
CA-LPF-002334,Front Incident,WF,35,120,1014.0,Acres,4200000.0,0,FRONT INCIDENT,2018-08-19,2018,Santa Barbara,4142.011834319526,0.0
CA-BDF-012772,STERLING,WF,34,117,125.0,Acres,300000.0,0,STERLING,2018-09-01,2018,San Bernardino,2400.0,0.0
CA-BDU-002752,PLEASANT,WF,37,119,2070.0,Acres,2267728.0,0,PLEASANT,2018-02-19,2018,Fresno,1095.52077294686,0.0
CA-BEU-004537,METZ,WF,36,121,420.0,Acres,65000.0,0,METZ,2018-09-13,2018,Monterey,154.76190476190476,0.0
CA-OVD-001396,HOTCREEK,WF,38,119,419.0,Acres,261663.0,0,HOTCREEK,2018-07-31,2018,Mono,624.4940334128878,0.0
CA-YNP-000085,Indian,WF,38,120,385.0,Acres,100000.0,0,INDIAN,2018-09-04,2018,Tuolumne,259.7402597402597,0.0
CA-VNC-091023,WOOLSEY,WF,34,119,96949.0,Acres,56943320.0,1643,WOOLSEY,2018-11-08,2018,Ventura,587.3533507307966,0.01694705463697408
CA-CNP-000713,Santa Cruz,WF,34,120,258.0,Acres,1200000.0,1,SANTA CRUZ,2018-03-27,2018,Santa Barbara,4651.162790697675,0.003875968992248062
CA-INF-001071,GEORGES,WF,37,118,2941.0,Acres,4412394.0,0,GEORGES,2018-07-08,2018,Inyo,1500.3039782386943,0.0
CA-LPF-002476,Ogilvy,WF,35,120,172.0,Acres,1900000.0,0,OGILVY,2018-09-01,2018,Santa Barbara,11046.511627906977,0.0
CA-MMU-012081,Planada,WF,37,120,4564.0,Acres,725746.0,0,PLANADA,2018-06-15,2018,Madera,159.01533742331287,0.0
CA-LAC-171655,SOUTH,WF,34,119,175.0,Acres,1100000.0,0,SOUTH,2018-06-09,2018,Ventura,6285.714285714285,0.0
CA-KRN-031160,TARINA,WF,35,119,3516.0,Acres,400000.0,0,TARINA,2018-08-03,2018,Kern,113.76564277588169,0.0
CA-LAC-288255,CHARLIE,WF,34,119,3380.0,Acres,9645162.0,0,CHARLIE,2018-09-22,2018,Ventura,2853.598224852071,0.0
CA-RRU-062932,PATTERSON,WF,34,117,1261.0,Acres,240000.0,0,PATTERSON,2018-05-17,2018,San Bernardino,190.32513877874703,0.0
CA-ORC-060414,ALISO,WF,34,118,175.0,Acres,3200000.0,0,ALISO,2018-06-02,2018,Los Angeles,18285.714285714286,0.0
CA-FHL-002806,NACIMIENTO,WF,36,121,450.0,Acres,150000.0,0,NACIMIENTO,2018-10-02,2018,Monterey,333.3333333333333,0.0
CA-LNU-019376,KINCADE,WF,39,123,77758.0,Acres,77144684.0,374,KINCADE,2019-10-24,2019,Lake,992.1125028935929,0.004809794490599038
CA-PNF-001324,Walker,WF,40,121,54608.0,Acres,35600000.0,9,WALKER,2019-09-04,2019,Plumas,651.9191327278055,0.0001648110167008497
CA-TGU-009386,RED BANK,WF,40,123,8838.0,Acres,21400000.0,2,RED BANK,2019-09-05,2019,Trinity,2421.3622991627067,0.00022629554197782303
CA-MDF-000509,TUCKER,WF,42,121,14150.0,Acres,3745000.0,0,TUCKER,2019-07-28,2019,Klamath,264.6643109540636,0.0
CA-MDF-000836,LONE,WF,42,121,5737.0,Acres,1500000.0,0,LONE,2019-09-05,2019,Klamath,261.4606937423741,0.0
CA-SHU-009030,MOUNTAIN,WF,41,122,600.0,Acres,3686672.0,14,MOUNTAIN,2019-08-22,2019,Shasta,6144.453333333333,0.023333333333333334
CA-LNU-018056,AMERICAN,WF,38,122,532.0,Acres,530000.0,1,AMERICAN,2019-10-06,2019,Contra Costa,996.2406015037594,0.0018796992481203006
CA-NOD-004869,R-1  Ranch,WF,41,121,3380.0,Acres,3750000.0,0,R-1  RANCH,2019-08-28,2019,Shasta,1109.4674556213017,0.0
CA-SCU-004384,ROCK,WF,37,121,2422.0,Acres,484400.0,0,ROCK,2019-06-26,2019,Merced,200.0,0.0
CA-MEU-009819,MOOSE,WF,39,123,225.0,Acres,800000.0,0,MOOSE,2019-08-13,2019,Lake,3555.5555555555557,0.0
CA-KNF-007099,KIDDER 2,WF,42,123,227.0,Acres,845000.0,0,KIDDER 2,2019-09-05,2019,Siskiyou,3722.466960352423,0.0
CA-NOD-005099,R-6,WF,41,121,260.0,Acres,225000.0,0,R-6,2019-09-06,2019,Shasta,865.3846153846154,0.0
CA-NOD-004779,HORSE,WF,41,121,131.0,Acres,390000.0,0,HORSE,2019-08-24,2019,Shasta,2977.0992366412215,0.0
CA-SCU-005471,MARSH,WF,38,122,757.0,Acres,600000.0,0,MARSH,2019-08-03,2019,Contra Costa,792.6023778071334,0.0
CA-SCU-003879,STUHR,WF,37,121,600.0,Acres,10000.0,0,STUHR,2019-06-07,2019,Merced,16.666666666666668,0.0
CA-ENF-030945,CAPLES,WF,39,120,3435.0,Acres,6370000.0,0,CAPLES,2019-10-10,2019,Douglas,1854.4395924308587,0.0
CA-TGU-011766,RANCH,WF,40,123,2534.0,Acres,11116149.0,0,RANCH,2019-11-03,2019,Trinity,4386.799131807419,0.0
CA-NOD-004382,W-1 McDonald,WF,41,120,1020.0,Acres,950000.0,0,W-1 MCDONALD,2019-08-08,2019,Lassen,931.3725490196078,0.0
CA-LNU-009880,SAND,WF,39,122,2512.0,Acres,10000000.0,7,SAND,2019-06-08,2019,Colusa,3980.891719745223,0.002786624203821656
CA-SCU-004617,Hollow,WF,38,122,283.0,Acres,150000.0,0,HOLLOW,2019-07-03,2019,Contra Costa,530.035335689046,0.0
CA-KNF-007074,LIME,WF,42,123,1872.0,Acres,10000000.0,0,LIME,2019-09-05,2019,Siskiyou,5341.880341880342,0.0
CA-MNF-000485,HENTHORNE,WF,40,123,244.0,Acres,4600000.0,0,HENTHORNE,2019-09-05,2019,Trinity,18852.45901639344,0.0
CA-SHF-001196,MIDDLE,WF,41,123,1339.0,Acres,50000.0,0,MIDDLE,2019-09-05,2019,Siskiyou,37.34129947722181,0.0
CA-MEU-013345,BURRIS,WF,39,123,703.0,Acres,2600000.0,0,BURRIS,2019-10-27,2019,Lake,3698.435277382646,0.0
CA-MEU-009124,USAL,WF,40,124,130.0,Acres,1250000.0,0,USAL,2019-07-28,2019,Humboldt,9615.384615384615,0.0
CA-BTU-010635,SWEDES,WF,39,121,496.0,Acres,2437756.0,2,SWEDES,2019-09-07,2019,Placer,4914.830645161291,0.004032258064516129
CA-MNF-000241,EAST,WF,40,123,410.0,Acres,1600000.0,0,EAST,2019-06-17,2019,Trinity,3902.439024390244,0.0
CA-SHF-001217,RAMSHORN,WF,41,123,280.0,Acres,2400000.0,0,RAMSHORN,2019-09-06,2019,Siskiyou,8571.42857142857,0.0
CA-SHF-001209,SOUTH,WF,40,123,5332.0,Acres,9300300.0,2,SOUTH,2019-09-05,2019,Trinity,1744.2423105776445,0.00037509377344336085
CA-BDF-014540,BAUTISTA,WF,34,117,167.0,Acres,557500.0,0,BAUTISTA,2019-09-16,2019,San Bernardino,3338.323353293413,0.0
CA-RRU-034071,LINCOLN,WF,34,116,564.0,Acres,332086.0,0,LINCOLN,2019-03-15,2019,Riverside,588.8049645390071,0.0
CA-RRU-130198,RECHE,WF,34,117,350.0,Acres,350000.0,2,RECHE,2019-10-10,2019,San Bernardino,1000.0,0.005714285714285714
CA-RRU-113828,TENAJA,WF,34,117,1926.0,Acres,4000000.0,0,TENAJA,2019-09-04,2019,San Bernardino,2076.8431983385253,0.0
CA-CND-001611,MESA,WF,36,118,227.0,Acres,500000.0,0,MESA,2019-07-31,2019,Kern,2202.643171806167,0.0
CA-MMU-017062,HUNTER,WF,38,120,423.0,Acres,93000.0,0,HUNTER,2019-08-15,2019,Tuolumne,219.8581560283688,0.0
CA-MVU-011787,BORDER 8,WF,33,117,1507.0,Acres,225000.0,0,BORDER 8,2019-08-14,2019,San Diego,149.30325149303252,0.0
CA-SQF-002089,Schaeffer,WF,36,118,295.0,Acres,640000.0,0,SCHAEFFER,2019-09-08,2019,Kern,2169.491525423729,0.0
CA-LFD-001582,SADDLERIDGE,WF,34,118,8799.0,Acres,29000000.0,24,SADDLERIDGE,2019-10-11,2019,Los Angeles,3295.829071485396,0.002727582679849983
CA-VNC-089158,EASY,WF,34,119,1806.0,Acres,2.5,1,EASY,2019-10-30,2019,Ventura,0.0013842746400885937,0.0005537098560354374
CA-RRU-118651,HORSESHOE,WF,34,117,520.0,Acres,2291308.0,0,HORSESHOE,2019-09-15,2019,San Bernardino,4406.361538461539,0.0
CA-STF-001355,Rosasco,WF,38,120,731.0,Acres,350000.0,0,ROSASCO,2019-05-23,2019,Tuolumne,478.79616963064296,0.0
CA-LPF-001678,MILL,WF,36,121,310.0,Acres,5100000.0,0,MILL,2019-07-30,2019,Monterey,16451.612903225807,0.0
CA-VNC-090135,Maria,WF,34,119,9999.0,Acres,11651926.0,4,MARIA,2019-11-01,2019,Ventura,1165.3091309130914,0.00040004000400040005
CA-BEU-003696,LONOAK,WF,36,121,2546.0,Acres,175000.0,0,LONOAK,2019-06-25,2019,Monterey,68.73527101335428,0.0
CA-RRU-130233,SANDALWOOD,WF,34,117,1011.0,Acres,3100000.0,72,SANDALWOOD,2019-10-10,2019,San Bernardino,3066.271018793274,0.0712166172106825
CA-SBC-013465,REAL,WF,34,120,420.0,Acres,730000.0,0,REAL,2019-10-17,2019,Santa Barbara,1738.095238095238,0.0
CA-CDD-012920,BARSTOW,WF,35,117,685.0,Acres,120000.0,0,BARSTOW,2019-08-11,2019,San Bernardino,175.1824817518248,0.0
CA-MMU-021257,BRICEBURG,WF,38,120,5563.0,Acres,16000000.0,1,BRICEBURG,2019-10-06,2019,Tuolumne,2876.1459644076936,0.00017975912277548085
CA-SLU-007315,BOULDER,WF,35,120,1127.0,Acres,50000.0,0,BOULDER,2019-06-05,2019,Santa Barbara,44.36557231588287,0.0
CA-LPF-002908,Cave,WF,35,120,3126.0,Acres,3600000.0,0,CAVE,2019-11-26,2019,Santa Barbara,1151.6314779270633,0.0
CA-TUU-000684,CREEK,WF,36,119,756.0,Acres,1240000.0,0,CREEK,2019-08-31,2019,Tulare,1640.2116402116403,0.0
CA-BEU-004344,LAKE,WF,36,121,316.0,Acres,100000.0,0,LAKE,2019-07-29,2019,Monterey,316.45569620253167,0.0
CA-RRU-139654,HILL,WF,34,117,628.0,Acres,200000.0,0,HILL,2019-10-30,2019,San Bernardino,318.47133757961785,0.0
CA-INF-001465,SPRINGS,WF,38,119,4840.0,Acres,6174292.6,0,SPRINGS,2019-07-27,2019,Mono,1275.6802892561982,0.0
CA-INF-000903,JORDAN,WF,36,118,591.0,Acres,2454458.0,0,JORDAN,2019-06-09,2019,Kern,4153.059221658206,0.0
CA-INF-002018,TABOOSE,WF,37,118,10400.0,Acres,10900000.0,0,TABOOSE,2019-09-05,2019,Inyo,1048.076923076923,0.0
CA-MMU-017127,GAINES,WF,38,120,1300.0,Acres,2651287.0,0,GAINES,2019-08-16,2019,Tuolumne,2039.4515384615383,0.0
CA-RRU-079226,JERRY,WF,34,117,525.0,Acres,500000.0,0,JERRY,2019-06-21,2019,San Bernardino,952.3809523809524,0.0
CA-SLU-008993,GILLIS,WF,36,120,974.0,Acres,187000.0,0,GILLIS,2019-07-08,2019,Kings,191.99178644763862,0.0
CA-LAC-326166,TICK,WF,34,118,4615.0,Acres,8200000.0,29,TICK,2019-10-24,2019,Los Angeles,1776.8147345612135,0.00628385698808234
CA-LFD-001583,GETTY,WF,34,118,745.0,Acres,8649993.0,13,GETTY,2019-10-28,2019,Los Angeles,11610.728859060402,0.0174496644295302
CA-BDF-017550,HILLSIDE,WF,34,117,200.0,Acres,220000.0,6,HILLSIDE,2019-10-31,2019,San Bernardino,1100.0,0.03
CA-SLU-007684,MCMILLAN,WF,36,120,1764.0,Acres,312000.0,0,MCMILLAN,2019-06-12,2019,Kings,176.87074829931973,0.0
CA-SLU-007006,Belmont,WF,35,120,835.0,Acres,70400.0,0,BELMONT,2019-05-30,2019,Santa Barbara,84.31137724550898,0.0
CA-LPF-002048,Snail,WF,35,119,279.0,Acres,1097900.0,0,SNAIL,2019-09-01,2019,Kern,3935.125448028674,0.0
CA-INF-001435,COW,WF,36,118,2025.0,Acres,2101000.0,0,COW,2019-07-25,2019,Kern,1037.530864197531,0.0
CA-SQF-001708,BRODER,WF,36,118,381.0,Acres,613559.0,0,BRODER,2019-08-08,2019,Kern,1610.3910761154855,0.0
CA-SLU-012773,LOPEZ,WF,35,120,220.0,Acres,2000000.0,0,LOPEZ,2019-09-21,2019,Santa Barbara,9090.90909090909,0.0
