City,County,FY1998-99,FY1999-00,FY2000-01,FY2001-02,FY2002-03,FY2003-04,FY2004-05,FY2005-06,FY2006-07,FY2007-08,FY2008-09,FY2009-10,FY2010-11,FY2011-12,FY2012-13,FY2013-14,FY2014-15,FY2015-16,FY2016-17,FY2017-18,FY2018-19
Marin County,MARIN,140.11 ,154.14 ,165.78 ,156.25 ,154.84 ,157.58 ,128.60 ,126.70 ,127.81 ,128.23 ,114.67 ,110.02 ,115.44 ,120.19 ,128.18 ,134.39 ,141.20 ,158.48 ,195.48 ,198.96 ,213.84 
Mariposa County UNINCORPORATED,MARIPOSA,76.27 ,75.88 ,75.68 ,75.81 ,78.43 ,76.94 ,72.20 ,72.16 ,69.51 ,69.53 ,68.45 ,66.18 ,68.24 ,72.66 ,75.02 ,73.72 ,78.47 ,88.74 ,109.71 ,116.43 ,116.57 
Mendocino County,MENDOCINO,96.65 ,108.08 ,114.30 ,115.34 ,119.53 ,121.65 ,102.40 ,101.48 ,106.49 ,107.64 ,98.65 ,90.52 ,94.53 ,101.95 ,105.57 ,110.99 ,116.18 ,125.48 ,160.67 ,167.63 ,176.18 
Merced County,MERCED,72.96 ,79.45 ,82.48 ,84.25 ,84.74 ,89.06 ,77.57 ,81.51 ,76.85 ,74.09 ,66.43 ,61.93 ,63.26 ,69.93 ,71.97 ,75.95 ,79.09 ,88.62 ,103.28 ,108.40 ,115.65 
Modoc County,MODOC,67.94 ,67.74 ,86.85 ,74.32 ,90.66 ,59.86 ,71.47 ,66.81 ,69.81 ,71.16 ,70.18 ,61.64 ,57.81 ,72.36 ,77.92 ,68.16 ,72.10 ,77.29 ,100.23 ,95.78 ,93.91 
Mono County,MONO,153.67 ,150.93 ,161.74 ,161.13 ,172.20 ,176.23 ,152.32 ,162.37 ,158.58 ,146.17 ,131.65 ,110.68 ,114.25 ,123.04 ,128.61 ,136.62 ,128.51 ,162.17 ,213.78 ,222.52 ,244.86 
Monterey County,MONTEREY,95.52 ,112.08 ,123.55 ,122.95 ,116.28 ,114.37 ,100.24 ,100.15 ,101.16 ,98.55 ,89.34 ,85.03 ,91.49 ,95.90 ,100.94 ,104.53 ,112.17 ,122.22 ,154.20 ,159.13 ,173.72 
Napa County,NAPA,122.87 ,142.94 ,155.96 ,152.79 ,158.08 ,156.08 ,127.74 ,135.33 ,137.13 ,141.96 ,133.34 ,122.88 ,127.43 ,140.37 ,148.37 ,159.25 ,167.71 ,192.64 ,239.97 ,251.61 ,272.28 
Nevada County,NEVADA,89.35 ,103.83 ,109.23 ,108.54 ,108.27 ,114.00 ,97.67 ,100.00 ,104.77 ,97.22 ,86.53 ,75.20 ,78.54 ,82.92 ,85.33 ,90.39 ,94.32 ,108.26 ,138.62 ,147.24 ,151.82 
Orange County,ORANGE,130.56 ,148.40 ,157.82 ,151.20 ,153.37 ,162.59 ,138.15 ,139.08 ,140.56 ,137.55 ,121.50 ,113.10 ,121.36 ,128.90 ,134.82 ,140.28 ,143.48 ,161.63 ,197.78 ,196.99 ,218.69 
Placer County,PLACER,154.98 ,171.06 ,191.79 ,193.64 ,199.39 ,208.24 ,173.97 ,176.73 ,172.89 ,164.28 ,136.18 ,124.91 ,129.11 ,139.63 ,147.77 ,158.42 ,166.13 ,190.99 ,237.82 ,243.81 ,259.18 
Plumas County,PLUMAS,76.00 ,83.83 ,95.24 ,91.80 ,98.24 ,99.29 ,86.78 ,89.30 ,89.97 ,86.27 ,76.32 ,66.52 ,67.97 ,77.82 ,78.18 ,82.98 ,81.35 ,92.95 ,125.16 ,141.05 ,132.20 
Riverside County,RIVERSIDE,92.20 ,102.57 ,110.02 ,112.67 ,116.51 ,126.76 ,109.66 ,113.62 ,110.09 ,101.76 ,87.15 ,75.70 ,80.64 ,87.48 ,95.38 ,100.02 ,104.84 ,117.46 ,145.80 ,153.01 ,166.98 
Sacramento County,SACRAMENTO,115.33 ,127.94 ,136.36 ,134.33 ,135.32 ,142.72 ,118.95 ,118.71 ,112.21 ,107.07 ,95.94 ,86.63 ,90.01 ,95.41 ,100.11 ,103.84 ,107.55 ,123.98 ,155.81 ,161.62 ,172.07 
San Benito County,SAN BENITO,81.21 ,81.72 ,90.71 ,90.57 ,89.84 ,86.51 ,74.42 ,71.60 ,67.22 ,71.40 ,61.53 ,58.34 ,62.76 ,64.95 ,73.14 ,73.24 ,76.03 ,86.29 ,112.68 ,140.02 ,121.44 
San Bernardino County,SAN BERNARDINO,96.85 ,103.06 ,111.26 ,111.07 ,116.97 ,124.03 ,111.11 ,118.35 ,115.93 ,109.21 ,95.39 ,86.95 ,92.44 ,101.88 ,107.10 ,112.21 ,119.46 ,141.36 ,171.68 ,180.44 ,192.85 
San Diego County,SAN DIEGO,107.41 ,120.88 ,129.32 ,130.12 ,132.92 ,139.89 ,118.08 ,117.55 ,116.43 ,112.65 ,101.90 ,96.15 ,102.57 ,108.83 ,112.49 ,117.21 ,122.36 ,136.87 ,170.15 ,172.37 ,183.67 
San Francisco,San Francisco,146.05 ,160.23 ,182.74 ,150.55 ,146.64 ,148.68 ,125.20 ,128.00 ,131.52 ,134.01 ,125.15 ,110.31 ,129.12 ,141.59 ,145.09 ,154.02 ,163.62 ,179.28 ,223.19 ,214.25 ,239.06 
San Joaquin County,SAN JOAQUIN,93.33 ,106.80 ,117.83 ,117.78 ,121.62 ,127.50 ,109.75 ,112.01 ,105.47 ,101.23 ,89.70 ,79.32 ,83.95 ,93.86 ,96.71 ,101.55 ,105.42 ,119.96 ,151.56 ,169.72 ,183.73 
San Luis Obispo County,SAN LUIS OBISPO,99.71 ,110.09 ,115.56 ,126.25 ,128.71 ,133.63 ,113.91 ,119.92 ,118.65 ,116.77 ,104.75 ,96.32 ,103.40 ,115.02 ,141.46 ,137.49 ,140.74 ,148.83 ,179.25 ,186.87 ,198.38 
San Mateo County,SAN MATEO,155.78 ,179.28 ,201.03 ,172.74 ,162.00 ,158.89 ,130.81 ,133.00 ,135.69 ,140.84 ,127.50 ,116.33 ,125.34 ,135.20 ,141.25 ,147.18 ,151.93 ,166.66 ,208.38 ,215.82 ,235.49 
Santa Barbara County,SANTA BARBARA,102.79 ,115.13 ,122.50 ,124.00 ,125.84 ,128.88 ,106.81 ,106.48 ,109.44 ,107.09 ,96.36 ,90.73 ,94.50 ,102.52 ,106.07 ,109.08 ,113.48 ,125.73 ,157.11 ,156.22 ,168.56 
Santa Clara County,SANTA CLARA,163.12 ,191.21 ,225.51 ,176.55 ,156.58 ,158.41 ,132.72 ,135.38 ,137.06 ,139.43 ,122.67 ,117.56 ,130.36 ,141.31 ,147.09 ,150.29 ,157.23 ,178.68 ,217.40 ,221.89 ,241.04 
Santa Cruz County,SANTA CRUZ,96.38 ,106.42 ,116.40 ,110.77 ,109.12 ,109.49 ,90.99 ,91.34 ,91.24 ,88.57 ,80.35 ,76.38 ,78.07 ,82.98 ,86.35 ,91.59 ,93.70 ,107.14 ,133.22 ,139.20 ,149.04 
Shasta County,SHASTA,100.42 ,117.83 ,127.52 ,130.20 ,133.82 ,138.17 ,118.21 ,120.39 ,122.03 ,115.44 ,102.56 ,102.22 ,102.30 ,108.81 ,110.91 ,116.92 ,118.07 ,132.39 ,168.15 ,175.30 ,190.52 
Sierra County,SIERRA,66.80 ,44.88 ,63.38 ,53.76 ,74.42 ,44.72 ,53.12 ,56.80 ,55.01 ,53.73 ,43.36 ,40.17 ,42.23 ,35.35 ,61.35 ,37.11 ,48.87 ,46.05 ,66.40 ,71.08 ,76.11 
