City,County,FY1998-99,FY1999-00,FY2000-01,FY2001-02,FY2002-03,FY2003-04,FY2004-05,FY2005-06,FY2006-07,FY2007-08,FY2008-09,FY2009-10,FY2010-11,FY2011-12,FY2012-13,FY2013-14,FY2014-15,FY2015-16,FY2016-17,FY2017-18,FY2018-19
Williams,Colusa,125.55 ,164.39 ,134.12 ,120.74 ,120.28 ,116.23 ,93.94 ,91.97 ,90.79 ,89.26 ,95.48 ,85.43 ,72.03 ,89.87 ,90.48 ,87.88 ,101.92 ,101.09 ,149.10 ,161.23 ,169.09 
Contra Costa County unincorporated,CONTRA COSTA,54.05 ,69.88 ,75.26 ,74.46 ,70.48 ,66.31 ,54.79 ,56.58 ,58.83 ,58.72 ,57.00 ,59.94 ,56.50 ,62.06 ,64.56 ,68.05 ,60.74 ,77.77 ,86.76 ,86.79 ,95.50 
Antioch,Contra Costa,70.75 ,81.24 ,88.74 ,87.55 ,88.00 ,90.64 ,81.53 ,82.25 ,84.19 ,83.00 ,71.38 ,64.80 ,67.46 ,70.69 ,75.51 ,73.66 ,79.31 ,85.98 ,109.96 ,116.66 ,128.27 
Brentwood,Contra Costa,75.11 ,77.20 ,82.06 ,70.14 ,70.94 ,76.55 ,72.06 ,74.77 ,69.65 ,71.61 ,68.46 ,71.99 ,77.02 ,81.35 ,83.70 ,86.35 ,89.49 ,101.20 ,129.08 ,137.62 ,140.45 
Clayton,Contra Costa,33.69 ,36.80 ,37.71 ,38.17 ,36.63 ,33.40 ,25.75 ,24.75 ,23.19 ,27.67 ,24.65 ,23.44 ,25.00 ,24.14 ,24.85 ,27.46 ,28.26 ,31.80 ,39.55 ,38.84 ,40.61 
Concord,Contra Costa,182.66 ,200.69 ,212.67 ,208.06 ,216.67 ,226.89 ,180.45 ,176.39 ,174.86 ,166.70 ,146.87 ,135.84 ,139.16 ,143.41 ,154.47 ,164.91 ,177.88 ,204.41 ,259.76 ,269.26 ,286.60 
Danville,Contra Costa,85.67 ,96.43 ,96.88 ,92.14 ,91.23 ,91.47 ,78.69 ,78.54 ,81.43 ,82.98 ,76.87 ,72.61 ,80.99 ,87.73 ,88.21 ,90.08 ,92.12 ,99.69 ,122.45 ,126.32 ,126.38 
El Cerrito,Contra Costa,85.50 ,97.52 ,106.83 ,115.08 ,126.87 ,137.40 ,111.56 ,106.06 ,125.54 ,120.05 ,100.28 ,103.51 ,73.08 ,109.88 ,106.96 ,102.01 ,85.40 ,98.36 ,121.73 ,117.75 ,124.00 
Hercules,Contra Costa,30.27 ,37.09 ,36.87 ,44.46 ,48.00 ,42.37 ,40.20 ,39.77 ,45.36 ,43.00 ,43.00 ,36.81 ,39.56 ,43.58 ,44.22 ,44.49 ,55.91 ,68.74 ,75.71 ,76.43 ,97.44 
Lafayette,Contra Costa,83.69 ,91.14 ,96.74 ,94.14 ,92.42 ,95.19 ,80.91 ,79.30 ,83.95 ,80.05 ,76.47 ,67.60 ,72.65 ,79.47 ,80.71 ,84.07 ,85.82 ,98.81 ,118.93 ,117.24 ,118.15 
Martinez,Contra Costa,77.68 ,88.36 ,74.83 ,94.79 ,71.83 ,102.96 ,90.22 ,92.38 ,86.88 ,89.10 ,83.39 ,80.78 ,100.26 ,104.77 ,108.98 ,119.28 ,100.56 ,108.42 ,128.35 ,125.10 ,130.52 
Moraga,Contra Costa,42.82 ,44.25 ,47.39 ,45.58 ,46.46 ,45.59 ,38.04 ,39.03 ,40.68 ,42.49 ,38.46 ,41.42 ,42.71 ,45.68 ,45.08 ,45.91 ,47.12 ,49.21 ,59.31 ,60.75 ,67.26 
Oakley,Contra Costa,NA,14.18 ,39.76 ,37.09 ,37.48 ,37.07 ,30.14 ,32.99 ,28.64 ,39.32 ,29.28 ,27.45 ,30.99 ,31.00 ,30.01 ,28.57 ,29.10 ,33.53 ,43.16 ,43.35 ,49.49 
Orinda,Contra Costa,41.28 ,43.02 ,49.44 ,48.23 ,45.43 ,45.70 ,38.87 ,41.26 ,40.43 ,42.15 ,45.51 ,37.85 ,37.21 ,37.96 ,39.31 ,41.03 ,41.29 ,45.65 ,53.79 ,55.89 ,53.47 
Pinole,Contra Costa,130.11 ,148.09 ,163.60 ,163.92 ,161.61 ,164.67 ,134.11 ,131.93 ,135.63 ,127.01 ,116.00 ,106.78 ,120.40 ,124.16 ,129.97 ,132.87 ,139.18 ,156.41 ,194.56 ,199.77 ,204.46 
Pittsburg,Contra Costa,79.66 ,104.96 ,111.00 ,136.57 ,113.07 ,108.51 ,98.24 ,103.61 ,90.89 ,90.12 ,81.93 ,70.79 ,68.79 ,68.21 ,104.56 ,73.13 ,80.79 ,72.60 ,119.37 ,119.97 ,127.12 
Pleasant Hill,Contra Costa,161.87 ,187.76 ,223.44 ,204.79 ,202.64 ,199.13 ,162.20 ,159.76 ,168.60 ,160.71 ,151.44 ,134.46 ,143.32 ,143.92 ,158.85 ,158.95 ,172.38 ,193.86 ,241.15 ,239.73 ,245.92 
Richmond,Contra Costa,105.54 ,123.22 ,130.17 ,119.74 ,119.24 ,114.34 ,96.61 ,91.57 ,90.49 ,100.91 ,84.09 ,78.09 ,90.59 ,91.60 ,91.50 ,97.94 ,107.06 ,112.61 ,141.15 ,156.81 ,165.21 
San Pablo,Contra Costa,47.23 ,54.46 ,52.33 ,53.33 ,57.70 ,55.23 ,44.01 ,41.03 ,39.21 ,42.12 ,40.83 ,36.67 ,42.31 ,44.94 ,48.97 ,49.38 ,50.31 ,54.99 ,69.13 ,72.26 ,78.04 
San Ramon,Contra Costa,253.26 ,292.05 ,256.12 ,175.15 ,168.04 ,167.54 ,138.40 ,125.57 ,126.11 ,110.33 ,237.01 ,79.50 ,78.63 ,81.65 ,80.71 ,94.05 ,86.15 ,103.41 ,119.99 ,114.67 ,124.58 
Walnut Creek,Contra Costa,307.59 ,239.24 ,284.69 ,276.50 ,274.02 ,299.25 ,231.29 ,234.90 ,231.46 ,225.51 ,192.62 ,181.12 ,199.42 ,210.98 ,224.23 ,232.63 ,237.73 ,266.83 ,333.42 ,335.68 ,386.29 
Del Norte County unincorporated,DEL NORTE,35.90 ,36.32 ,43.90 ,42.15 ,49.90 ,48.12 ,39.32 ,38.42 ,38.28 ,35.03 ,34.66 ,32.15 ,32.73 ,34.76 ,37.68 ,38.31 ,42.13 ,41.06 ,54.37 ,56.38 ,58.82 
Crescent City,Del Norte,99.15 ,109.62 ,125.79 ,133.16 ,115.42 ,124.87 ,108.72 ,107.53 ,121.35 ,132.45 ,122.82 ,108.85 ,114.92 ,121.16 ,135.90 ,140.91 ,155.11 ,172.49 ,218.19 ,210.28 ,226.04 
El Dorado County unincorporated,EL DORADO,45.22 ,51.44 ,54.95 ,56.70 ,58.98 ,64.10 ,55.53 ,57.33 ,56.56 ,58.00 ,52.60 ,45.77 ,47.83 ,50.04 ,53.01 ,55.58 ,57.15 ,64.14 ,83.21 ,85.72 ,94.25 
Placerville,El Dorado,250.50 ,286.40 ,303.37 ,322.07 ,341.05 ,327.37 ,274.87 ,291.86 ,290.65 ,264.46 ,217.99 ,201.48 ,209.54 ,231.07 ,242.45 ,269.79 ,275.76 ,340.57 ,432.38 ,462.33 ,472.98 
South Lake Tahoe,El Dorado,132.59 ,150.62 ,154.20 ,154.78 ,152.49 ,160.55 ,136.39 ,145.98 ,137.44 ,129.28 ,117.86 ,105.64 ,119.67 ,124.62 ,144.34 ,152.83 ,157.11 ,190.62 ,240.85 ,241.31 ,244.27 
Fresno County unincorporated,FRESNO,67.58 ,76.09 ,81.53 ,78.49 ,81.66 ,91.53 ,80.55 ,84.86 ,86.56 ,81.05 ,83.97 ,72.86 ,76.08 ,88.81 ,94.79 ,101.07 ,101.03 ,133.77 ,141.33 ,154.42 ,160.70 
Clovis,Fresno,119.14 ,133.34 ,138.45 ,146.69 ,145.69 ,146.89 ,121.20 ,122.03 ,121.90 ,112.93 ,101.93 ,96.28 ,99.01 ,105.11 ,109.98 ,120.61 ,124.65 ,141.84 ,174.92 ,176.39 ,182.89 
Coalinga,Fresno,61.02 ,43.01 ,44.77 ,37.62 ,40.07 ,45.38 ,35.91 ,43.43 ,60.12 ,44.43 ,46.19 ,35.74 ,31.67 ,48.61 ,44.22 ,29.00 ,44.08 ,42.68 ,45.27 ,47.40 ,53.78 
Firebaugh,Fresno,66.68 ,64.98 ,89.33 ,98.09 ,105.05 ,85.10 ,66.03 ,76.42 ,84.40 ,83.40 ,91.88 ,66.34 ,57.52 ,70.79 ,81.16 ,74.87 ,74.52 ,82.90 ,93.11 ,109.40 ,101.49 
Fowler,Fresno,99.09 ,127.35 ,121.00 ,95.04 ,137.34 ,182.53 ,166.47 ,192.73 ,171.64 ,175.17 ,156.30 ,125.00 ,118.45 ,154.47 ,149.47 ,157.98 ,178.82 ,199.31 ,218.57 ,206.82 ,214.25 
Fresno,Fresno,106.61 ,116.41 ,120.13 ,119.11 ,126.88 ,135.59 ,114.58 ,121.27 ,118.89 ,115.36 ,101.33 ,89.04 ,92.11 ,100.75 ,104.50 ,107.75 ,111.89 ,126.05 ,155.17 ,159.75 ,171.05 
Huron,Fresno,24.47 ,23.62 ,21.68 ,19.87 ,19.36 ,21.16 ,17.62 ,16.06 ,17.12 ,15.98 ,15.48 ,12.97 ,16.43 ,18.75 ,18.35 ,19.66 ,17.12 ,19.60 ,21.95 ,23.93 ,24.93 
Kerman,Fresno,89.10 ,101.17 ,90.18 ,65.50 ,59.75 ,58.51 ,50.75 ,50.15 ,46.75 ,56.57 ,47.29 ,47.97 ,53.94 ,63.22 ,74.49 ,81.24 ,89.11 ,101.17 ,121.18 ,126.88 ,127.85 
Kingsburg,Fresno,55.48 ,61.24 ,66.45 ,53.12 ,56.64 ,58.66 ,47.04 ,48.56 ,53.46 ,56.71 ,53.54 ,51.28 ,54.91 ,60.22 ,61.19 ,63.50 ,72.96 ,62.84 ,83.89 ,78.75 ,92.13 
Mendota,Fresno,32.37 ,38.32 ,43.27 ,41.53 ,39.86 ,39.56 ,36.35 ,39.08 ,43.05 ,38.74 ,43.84 ,44.62 ,36.81 ,42.69 ,42.51 ,42.01 ,40.93 ,37.14 ,45.70 ,50.74 ,54.77 
Orange Cove,Fresno,14.58 ,16.14 ,15.32 ,13.07 ,13.96 ,14.74 ,11.19 ,12.08 ,10.78 ,11.07 ,11.20 ,9.28 ,13.27 ,13.72 ,13.20 ,14.10 ,13.65 ,14.67 ,18.31 ,18.67 ,22.59 
Parlier,Fresno,14.53 ,16.54 ,18.29 ,15.85 ,16.00 ,23.97 ,15.51 ,15.18 ,17.46 ,18.31 ,19.09 ,18.61 ,16.48 ,18.09 ,21.88 ,24.91 ,21.52 ,18.26 ,24.64 ,27.40 ,27.53 
Reedley,Fresno,59.26 ,58.41 ,61.19 ,63.24 ,63.63 ,60.16 ,50.29 ,51.69 ,45.69 ,46.27 ,42.62 ,37.52 ,41.76 ,45.99 ,45.62 ,46.87 ,46.62 ,53.06 ,63.13 ,63.96 ,65.83 
San Joaquin,Fresno,48.76 ,461.40 ,45.61 ,38.82 ,33.50 ,35.54 ,33.75 ,33.74 ,40.89 ,44.95 ,58.45 ,35.14 ,54.54 ,59.13 ,66.28 ,71.80 ,74.93 ,38.18 ,42.45 ,44.99 ,60.01 
Sanger,Fresno,74.31 ,8.89 ,85.57 ,75.33 ,73.62 ,73.74 ,62.46 ,59.86 ,54.62 ,55.61 ,48.26 ,42.55 ,47.74 ,51.37 ,53.52 ,55.33 ,54.65 ,66.67 ,78.61 ,87.08 ,85.83 
Selma,Fresno,141.63 ,162.43 ,184.00 ,187.28 ,187.87 ,188.06 ,143.60 ,153.33 ,150.01 ,132.62 ,102.81 ,90.23 ,97.19 ,116.98 ,125.10 ,130.87 ,138.34 ,163.35 ,204.04 ,222.92 ,258.85 
Glenn County unincorporated,GLENN,52.80 ,63.19 ,70.52 ,65.55 ,56.79 ,79.98 ,58.80 ,63.03 ,65.28 ,58.00 ,52.09 ,46.79 ,47.78 ,56.06 ,58.29 ,55.58 ,51.94 ,59.03 ,69.59 ,79.22 ,84.03 
Orland,Glenn,93.67 ,102.94 ,99.64 ,99.88 ,109.96 ,114.50 ,107.89 ,108.44 ,107.84 ,97.63 ,88.63 ,67.89 ,80.20 ,93.18 ,92.60 ,108.83 ,114.88 ,145.30 ,216.42 ,237.60 ,245.31 
Willows,Glenn,104.73 ,110.83 ,123.57 ,127.80 ,127.50 ,134.24 ,111.70 ,121.10 ,114.76 ,119.12 ,126.27 ,124.88 ,134.37 ,145.09 ,157.52 ,146.04 ,160.78 ,177.55 ,217.38 ,220.85 ,230.69 
Humboldt County unincorporated,HUMBOLDT,36.39 ,38.91 ,41.94 ,40.85 ,43.16 ,44.87 ,37.30 ,37.87 ,40.42 ,43.54 ,42.29 ,42.03 ,46.89 ,46.36 ,49.46 ,53.05 ,54.68 ,65.36 ,87.38 ,92.16 ,77.66 
Arcata,Humboldt,90.84 ,94.49 ,90.89 ,95.34 ,92.49 ,93.90 ,79.52 ,84.44 ,85.53 ,91.42 ,82.69 ,84.49 ,85.69 ,92.91 ,93.78 ,94.21 ,97.75 ,111.40 ,143.44 ,146.57 ,147.25 
Blue Lake,Humboldt,35.11 ,27.44 ,35.09 ,46.39 ,40.45 ,34.17 ,32.50 ,31.78 ,13.86 ,6.38 ,10.24 ,11.26 ,8.88 ,9.17 ,9.59 ,11.58 ,14.74 ,19.61 ,24.69 ,30.33 ,28.88 
Eureka,Humboldt,234.17 ,253.09 ,282.64 ,283.50 ,292.74 ,308.08 ,260.98 ,258.03 ,266.21 ,263.78 ,243.78 ,238.42 ,236.66 ,234.23 ,254.42 ,268.00 ,275.79 ,314.58 ,397.45 ,388.25 ,384.90 
Ferndale,Humboldt,80.93 ,86.59 ,90.76 ,87.77 ,93.59 ,92.90 ,79.23 ,72.25 ,71.22 ,81.81 ,75.40 ,71.46 ,70.04 ,69.07 ,73.17 ,81.23 ,91.26 ,106.19 ,123.30 ,122.88 ,116.18 
Fortuna,Humboldt,94.71 ,107.97 ,107.23 ,108.87 ,108.21 ,113.69 ,94.51 ,92.08 ,95.53 ,105.84 ,91.74 ,88.65 ,90.11 ,92.93 ,89.81 ,94.62 ,96.12 ,113.22 ,154.09 ,155.57 ,149.07 
Rio Dell,Humboldt,20.31 ,21.74 ,22.33 ,22.74 ,22.60 ,25.45 ,20.97 ,21.77 ,24.27 ,25.84 ,24.62 ,24.21 ,35.88 ,40.99 ,39.50 ,32.97 ,29.37 ,32.85 ,42.45 ,66.37 ,55.87 
Trinidad,Humboldt,167.36 ,188.47 ,238.69 ,247.19 ,244.54 ,251.38 ,206.27 ,203.68 ,202.14 ,220.27 ,219.66 ,230.08 ,200.04 ,210.34 ,228.10 ,238.95 ,269.41 ,302.88 ,378.99 ,404.74 ,414.73 
Imperial County unincorporated,IMPERIAL,13.76 ,55.32 ,55.99 ,40.21 ,48.98 ,49.79 ,42.65 ,46.36 ,50.73 ,64.20 ,48.84 ,35.77 ,49.80 ,50.21 ,174.99 ,283.47 ,159.49 ,116.73 ,97.27 ,123.14 ,112.96 
Brawley,Imperial,54.91 ,60.33 ,54.84 ,58.48 ,62.58 ,66.05 ,50.58 ,55.83 ,50.56 ,51.00 ,58.59 ,52.71 ,59.51 ,64.60 ,61.16 ,61.99 ,64.54 ,67.51 ,79.93 ,84.14 ,88.50 
Calexico,Imperial,109.80 ,135.86 ,136.74 ,132.01 ,137.11 ,131.97 ,95.84 ,94.73 ,104.27 ,98.81 ,78.25 ,66.92 ,75.35 ,73.15 ,71.11 ,75.88 ,85.26 ,88.03 ,102.48 ,111.26 ,106.81 
Calipatria,Imperial,10.46 ,15.80 ,15.11 ,13.15 ,13.79 ,12.54 ,10.13 ,11.99 ,13.94 ,12.24 ,8.95 ,7.00 ,10.26 ,61.94 ,12.60 ,0.00 ,0.00 ,28.30 ,4.74 ,0.00 ,11.60 
El Centro,Imperial,123.15 ,150.43 ,151.61 ,154.81 ,163.26 ,174.12 ,154.53 ,179.54 ,179.02 ,176.03 ,161.56 ,143.22 ,177.98 ,178.16 ,179.39 ,180.30 ,184.19 ,202.58 ,263.40 ,266.70 ,279.64 
Holtville,Imperial,23.69 ,25.74 ,23.62 ,22.36 ,26.18 ,24.23 ,21.53 ,20.86 ,25.55 ,31.64 ,36.94 ,34.12 ,50.48 ,42.56 ,41.45 ,37.33 ,41.02 ,47.36 ,44.35 ,73.33 ,51.95 
Imperial,Imperial,185.27 ,103.78 ,104.59 ,106.59 ,94.05 ,107.77 ,114.94 ,131.46 ,94.64 ,86.71 ,109.31 ,99.60 ,50.38 ,86.80 ,90.92 ,85.82 ,87.67 ,92.98 ,104.01 ,123.31 ,112.80 
Westmorland,Imperial,54.20 ,68.39 ,66.03 ,50.98 ,58.45 ,52.26 ,52.25 ,59.18 ,60.03 ,79.80 ,73.16 ,52.16 ,46.64 ,53.44 ,54.40 ,51.80 ,53.95 ,46.19 ,58.06 ,59.73 ,69.34 
Inyo County unincorporated,INYO,54.09 ,66.01 ,65.28 ,69.88 ,60.98 ,64.00 ,55.99 ,56.90 ,60.09 ,55.19 ,62.07 ,58.67 ,59.15 ,64.46 ,62.16 ,59.76 ,76.14 ,77.19 ,103.73 ,116.55 ,110.75 
Bishop,Inyo,437.20 ,470.63 ,431.71 ,455.54 ,469.99 ,469.58 ,426.16 ,436.43 ,440.09 ,474.39 ,402.76 ,382.97 ,386.46 ,406.77 ,420.24 ,380.53 ,370.38 ,428.04 ,501.20 ,486.12 ,562.71 
Kern County unincorporated,KERN,66.00 ,73.77 ,79.03 ,83.57 ,79.90 ,83.17 ,77.95 ,85.17 ,92.32 ,98.89 ,100.85 ,78.68 ,103.44 ,141.57 ,119.29 ,135.16 ,136.08 ,119.68 ,140.03 ,125.81 ,152.85 
Arvin,Kern,29.23 ,31.65 ,31.36 ,29.20 ,28.42 ,28.89 ,27.56 ,30.42 ,28.36 ,29.36 ,33.03 ,24.94 ,25.84 ,28.33 ,27.13 ,28.84 ,27.52 ,26.97 ,32.27 ,33.33 ,40.95 
Bakersfield,Kern,146.13 ,157.95 ,162.68 ,166.71 ,169.90 ,171.83 ,146.77 ,155.84 ,150.24 ,140.58 ,130.02 ,108.91 ,122.84 ,134.47 ,142.37 ,141.30 ,135.44 ,147.24 ,168.54 ,181.28 ,191.77 
California City,Kern,23.13 ,21.17 ,21.74 ,17.68 ,17.84 ,19.00 ,19.70 ,23.73 ,24.17 ,21.06 ,17.36 ,14.45 ,17.67 ,17.72 ,20.48 ,21.87 ,18.26 ,20.93 ,24.35 ,23.54 ,23.65 
Delano,Kern,51.82 ,50.71 ,50.06 ,52.91 ,55.99 ,57.44 ,49.93 ,55.32 ,50.41 ,50.82 ,48.00 ,43.95 ,50.95 ,59.47 ,64.60 ,72.58 ,79.32 ,86.25 ,104.66 ,106.49 ,114.86 
Maricopa,Kern,21.55 ,18.03 ,26.10 ,27.16 ,13.94 ,16.51 ,32.88 ,26.47 ,16.54 ,30.90 ,25.89 ,17.75 ,18.52 ,23.29 ,20.81 ,18.78 ,27.40 ,17.77 ,21.59 ,25.77 ,22.15 
McFarland,Kern,14.62 ,15.81 ,17.18 ,15.94 ,15.09 ,15.75 ,13.88 ,13.79 ,15.98 ,16.10 ,13.70 ,12.37 ,15.23 ,16.28 ,20.04 ,18.64 ,17.85 ,21.76 ,25.30 ,23.69 ,25.47 
Ridgecrest,Kern,72.85 ,77.01 ,95.65 ,95.17 ,100.36 ,99.50 ,82.55 ,91.50 ,87.57 ,82.45 ,79.05 ,70.30 ,76.50 ,79.29 ,71.84 ,72.32 ,75.11 ,87.11 ,110.55 ,111.50 ,113.35 
Shafter,Kern,99.66 ,108.03 ,132.19 ,217.23 ,140.67 ,132.55 ,115.32 ,175.94 ,354.67 ,257.02 ,292.17 ,287.46 ,329.32 ,393.13 ,571.15 ,626.68 ,663.45 ,681.09 ,772.33 ,823.50 ,894.97 
Taft,Kern,123.66 ,115.87 ,146.68 ,146.40 ,137.81 ,136.18 ,115.86 ,122.30 ,134.46 ,144.09 ,151.43 ,124.33 ,136.48 ,148.82 ,152.34 ,142.07 ,118.19 ,110.87 ,128.79 ,139.14 ,161.57 
Tehachapi,Kern,57.12 ,61.07 ,80.50 ,75.40 ,81.08 ,86.32 ,79.12 ,81.46 ,89.64 ,97.24 ,81.98 ,75.78 ,89.56 ,117.75 ,132.65 ,143.79 ,160.96 ,142.51 ,191.81 ,205.34 ,229.22 
Wasco,Kern,30.87 ,32.03 ,32.28 ,35.38 ,37.08 ,36.03 ,29.05 ,33.11 ,35.32 ,33.97 ,32.65 ,29.43 ,33.31 ,35.51 ,27.28 ,32.51 ,37.80 ,36.67 ,48.16 ,47.45 ,56.85 
Kings County unincorporated,KINGS,35.55 ,41.31 ,52.35 ,46.64 ,63.94 ,42.23 ,39.89 ,49.01 ,49.09 ,49.00 ,51.68 ,42.38 ,49.45 ,56.74 ,57.30 ,60.99 ,82.34 ,140.11 ,90.62 ,83.30 ,88.81 
Avenal,Kings,9.77 ,9.51 ,9.04 ,9.04 ,9.76 ,8.43 ,7.22 ,9.37 ,10.36 ,10.73 ,10.62 ,9.51 ,10.77 ,12.76 ,14.51 ,15.79 ,17.51 ,21.23 ,21.87 ,20.49 ,24.51 
Corcoran,Kings,29.25 ,42.95 ,39.59 ,39.37 ,38.66 ,35.15 ,34.73 ,35.39 ,32.11 ,38.94 ,43.19 ,22.34 ,28.31 ,33.23 ,35.06 ,33.93 ,33.89 ,38.82 ,47.02 ,46.50 ,47.97 
Hanford,Kings,110.39 ,118.01 ,130.43 ,125.91 ,129.92 ,130.81 ,104.30 ,114.08 ,115.23 ,113.11 ,106.27 ,100.62 ,97.05 ,107.02 ,110.28 ,114.52 ,119.33 ,139.30 ,178.75 ,193.54 ,192.73 
Lemoore,Kings,50.27 ,56.56 ,54.86 ,71.39 ,73.02 ,74.70 ,51.98 ,54.29 ,53.43 ,53.99 ,56.50 ,46.71 ,49.17 ,56.10 ,59.53 ,63.58 ,60.52 ,56.30 ,69.19 ,76.02 ,92.10 
Lake County unincorporated,LAKE,39.64 ,46.68 ,47.52 ,52.20 ,50.77 ,54.38 ,48.49 ,47.01 ,50.16 ,47.55 ,48.81 ,36.57 ,39.78 ,43.60 ,45.38 ,44.42 ,44.39 ,53.24 ,66.79 ,70.47 ,70.82 
Clearlake,Lake,70.96 ,79.14 ,72.64 ,79.00 ,80.76 ,78.23 ,71.83 ,68.19 ,71.39 ,70.87 ,69.79 ,65.73 ,62.98 ,64.23 ,65.25 ,68.99 ,67.00 ,80.18 ,99.46 ,103.95 ,116.94 
Lakeport,Lake,234.59 ,272.94 ,260.85 ,254.25 ,244.05 ,249.47 ,205.88 ,209.61 ,222.31 ,210.95 ,182.50 ,168.50 ,185.49 ,203.40 ,193.93 ,211.65 ,185.19 ,216.40 ,261.36 ,264.01 ,299.00 
Lassen County unincorporated,LASSEN,41.16 ,44.64 ,42.38 ,47.35 ,50.51 ,54.60 ,47.60 ,49.55 ,43.74 ,44.92 ,32.35 ,31.95 ,34.30 ,40.02 ,41.21 ,46.08 ,50.21 ,65.53 ,85.37 ,94.07 ,75.45 
Susanville,Lassen,77.59 ,82.45 ,86.57 ,90.03 ,93.44 ,88.70 ,69.88 ,76.27 ,71.45 ,77.08 ,68.55 ,63.87 ,60.04 ,68.92 ,74.60 ,73.80 ,78.75 ,96.19 ,134.28 ,146.82 ,109.02 
Los Angeles County unincorporated,LOS ANGELES,33.82 ,38.60 ,42.32 ,40.40 ,42.52 ,42.80 ,36.52 ,38.15 ,41.69 ,38.83 ,36.56 ,31.91 ,31.76 ,35.67 ,44.41 ,41.70 ,45.24 ,48.48 ,58.60 ,59.61 ,66.89 
Agoura Hills,Los Angeles,106.04 ,111.24 ,137.02 ,148.80 ,140.01 ,140.00 ,115.00 ,121.60 ,120.70 ,120.95 ,111.57 ,92.02 ,117.26 ,116.96 ,129.89 ,134.66 ,148.37 ,151.91 ,183.46 ,191.69 ,195.91 
Alhambra,Los Angeles,108.99 ,119.24 ,133.40 ,133.90 ,135.15 ,134.19 ,112.84 ,109.89 ,110.95 ,108.63 ,102.21 ,92.75 ,106.44 ,112.68 ,122.52 ,126.16 ,129.83 ,155.10 ,187.74 ,186.67 ,198.28 
Arcadia,Los Angeles,121.10 ,122.63 ,134.43 ,130.14 ,129.73 ,137.86 ,121.96 ,126.20 ,123.18 ,128.39 ,117.53 ,109.83 ,112.48 ,119.42 ,127.44 ,131.47 ,139.32 ,152.16 ,191.90 ,184.91 ,196.61 
Artesia,Los Angeles,99.93 ,109.74 ,125.70 ,120.29 ,109.29 ,115.35 ,91.97 ,90.12 ,89.57 ,89.22 ,73.07 ,72.57 ,81.64 ,87.82 ,91.07 ,100.70 ,104.19 ,121.70 ,154.09 ,162.15 ,178.70 
Avalon,Los Angeles,171.58 ,174.31 ,205.03 ,202.78 ,189.85 ,188.25 ,158.98 ,150.41 ,156.36 ,153.29 ,142.86 ,132.63 ,126.16 ,141.28 ,157.64 ,147.97 ,175.97 ,195.30 ,245.84 ,266.52 ,242.68 
Azusa,Los Angeles,70.71 ,80.53 ,84.90 ,82.44 ,83.43 ,85.47 ,74.14 ,72.92 ,83.01 ,76.58 ,67.01 ,59.45 ,70.81 ,76.81 ,78.47 ,78.07 ,84.32 ,91.14 ,111.53 ,111.61 ,115.70 
Baldwin Park,Los Angeles,43.72 ,47.71 ,52.59 ,51.36 ,54.79 ,58.38 ,52.59 ,56.20 ,57.83 ,57.90 ,52.32 ,50.20 ,54.74 ,57.74 ,58.32 ,55.51 ,55.92 ,63.51 ,79.52 ,81.06 ,82.98 
Bell,Los Angeles,44.75 ,47.41 ,52.35 ,56.89 ,60.44 ,62.23 ,45.19 ,52.04 ,50.27 ,49.18 ,39.46 ,40.58 ,38.74 ,36.05 ,38.32 ,41.23 ,41.14 ,49.55 ,62.64 ,68.83 ,65.67 
Bell Gardens,Los Angeles,31.59 ,32.10 ,34.03 ,32.88 ,30.89 ,31.52 ,29.56 ,29.36 ,32.16 ,33.99 ,34.77 ,31.12 ,38.01 ,42.85 ,43.51 ,45.90 ,47.91 ,53.69 ,67.43 ,68.47 ,73.38 
Bellflower,Los Angeles,68.24 ,73.22 ,74.11 ,74.52 ,68.30 ,71.67 ,51.68 ,54.17 ,52.72 ,50.46 ,40.50 ,42.33 ,42.25 ,45.58 ,48.52 ,48.84 ,51.26 ,62.03 ,77.90 ,78.02 ,78.18 
Beverly Hills,Los Angeles,443.47 ,509.04 ,553.28 ,518.46 ,521.32 ,560.07 ,485.08 ,516.40 ,534.31 ,563.13 ,486.58 ,428.53 ,479.43 ,505.66 ,594.87 ,626.89 ,685.97 ,773.93 ,948.45 ,956.81 ,"1,081.33 "
Bradbury,Los Angeles,8.01 ,6.17 ,25.86 ,0.00 ,0.00 ,9.21 ,0.00 ,0.00 ,0.00 ,2.53 ,1.64 ,2.15 ,1.31 ,1.08 ,2.00 ,5.21 ,2.23 ,3.53 ,7.12 ,3.85 ,1.80 
Burbank,Los Angeles,171.49 ,186.41 ,212.07 ,208.23 ,227.66 ,245.17 ,208.83 ,210.96 ,213.59 ,225.52 ,210.17 ,176.63 ,206.98 ,218.01 ,205.19 ,213.15 ,225.52 ,231.08 ,314.05 ,324.13 ,344.51 
Calabasas,Los Angeles,139.91 ,174.25 ,235.10 ,219.42 ,225.77 ,213.19 ,215.86 ,196.88 ,214.41 ,204.29 ,184.59 ,163.44 ,186.99 ,162.33 ,176.17 ,184.54 ,177.97 ,176.20 ,196.13 ,209.90 ,237.67 
