DATE,CARGSP
1997-01-01,1379722.1
1998-01-01,1470543.0
1999-01-01,1583231.3
2000-01-01,1709490.6
2001-01-01,1707064.7
2002-01-01,1747199.5
2003-01-01,1829296.5
2004-01-01,1902550.4
2005-01-01,1988736.5
2006-01-01,2072274.1
2007-01-01,2103014.8
2008-01-01,2110596.1
2009-01-01,2025633.2
2010-01-01,2056990.4
2011-01-01,2090836.8
2012-01-01,2144089.6
2013-01-01,2219610.5
2014-01-01,2316331.2
2015-01-01,2437366.9
2016-01-01,2519133.6
2017-01-01,2628314.6
2018-01-01,2708966.9
2019-01-01,2800505.4
